Название поля,Тип,Формат,Описание
**ACTSET**, , ,Начало документа
NUMBER,М,Строка (16),Номер документа
DATE,М,Дата (ГГГГ-ММ-ДД),Дата документа
CURRENCY,М,Строка (3),Код валюты
CAMPAIGNNUMBER,O,Строка (16),Номер договора
CAMPAIGNDATE,O,Дата (ГГГГ-ММ-ДД),Дата договора
DIRECTOR,O,Строка (60),Директор
MANAGER,O,Строка (60),Менеджер
TOTALAMOUNT,М,Число десятичное,Сумма по документу
**HEAD**, , ,Начало основного блока
BUYER,M,Число (13),GLN покупателя
SUPPLIER,M,Число (13),GLN поставщика
SENDER,M,Число (13),GLN отправителя сообщения
RECIPIENT,M,Число (13),GLN получателя сообщения
**POSITION**, , ,Товарные позиции (начало блока)
POSITIONNUMBER,М,"Число [*1, 100+]",Номер позиции
PRODUCTNAME,O,Строка (70),Описание продукта
PRODUCT,M,Строка (16),Наименование товара или услуги
AMOUNT,M,Число десятичное,Сумма
**POSITION**, , ,Товарные позиции (окончание блока)
**HEAD**, , ,Окончание основного блока
**ACTSET**, , ,Окончание документа
