НАЗВАНИЕ ПОЛЯ,ТИП,ФОРМАТ,ОПИСАНИЕ
**AGREEM**,М, ,Начало документа
NUMBER,М,Строка (15),Номер документа
DATE,М,Дата (ГГГГ-ММ-ДД),Дата документа 
CONTRACTNUMBER,М,Строка (20),Номер контракта
CONTRACTEXPIRYDATE,М,Дата (ГГГГ-ММ-ДД),Дата окончания действия контракта
CAMPAIGNNUMBER,М,Строка (20),Номер договора
CAMPAIGNDATE,М,Дата (ГГГГ-ММ-ДД),Дата окончания действия договора
DOCSTARTDATE,М,Дата (ГГГГ-ММ-ДД),Дата начала действия новой цены 
DOCENDDATE,М,Дата (ГГГГ-ММ-ДД),Дата окончания действия новой цены
PRICETYPE,М, ,"подтип документа (действие)
* Regular - изменить регулярную цену
* Promo - изменить промо цену
* delSKU - вывести товар из ассортимента
* prestopSKU - временно приостановить поставку"
DOCACTION,М,Число (1),признак документа (2 - подтверждение)
**HEAD**, , ,Начало основного блока
SUPPLIER,M,Число (13),GLN продавца 
BUYER,M,Число (13),GLN покупателя 
RECIPIENT,O,Строка (35),GLN получателя 
SENDER,M,Число (13),GLN отправителя 
ATTACHMENT, , ,Вложение
**POSITION**, , ,Товарные позиции (начало блока)
POSITIONNUMBER,М,Число положительное,Номер позиции в документе
PRODUCT,M,Строка (20),Штрихкод продукта 
PRODUCT_NAME,М, ,Наименование
PRODUCTIDBUYER ,М,Строка (15),Артикул покупателя
POSITIONIDBUYER ,М, , id товарной позиции
DESCRIPTION ,M, ,Описание продукта
PRICEWITHOUTVAT,М, ,Цена без НДС
PRICEWITHVAT,M, ,Цена с НДС
PRICEWITHOUTVAT_CHNG ,О, ,Новая цена без НДС
PRICEWITHVAT_CHNG,M, ,Новая цена с НДС
DIFFPRICE,M, ,% изменения цены
DISCOUNTPRICEWITHOUTVAT,O, ,Цена со скидкой без НДС 
DISCOUNTPRICEWITHVAT,O, ,Цена со скидкой с НДС
DISCOUNTVAL,O, ,% скидки
DISCOUNTPRICEWITHOUTVAT_CHNG,O, ,Новая цена со скидкой без НДС
DISCOUNTPRICEWITHVAT_CHNG,O, ,Новая цена со скидкой с НДС
DIFFDISCOUNTPRICE,O, ,% изменения цены со скидкой
DISCOUNTVAL_CHNG,O, ,% новой скидки
PROMO,O,Строка (70),Промоцена
PROMOWITHVAT,O, ,Промоцена с НДС
PROMODISCOUNT,O,Дата (ГГГГ-ММ-ДД),% промоскидки
POSITIONACTION,O, ,Поставка не позднее указанного времени 
VAT,О, ,"Ставка НДС, %"
UNIT,O, ,"Единицы измерения, шт"
STATUS,M, ,Принять / отклонить
**OCERTS**,O, ,Сертификат/-ы (начало блока)
CERT_NUM,O,Строка (16),№ сертификата
CERT_TYPE, , ,Тип сертификата
BATCH, ,Строка (35),Серийный номер сертификата
START_DATE,O,Дата (ГГГГ-ММ-ДД),Дата начала сертификата
END_DATE,O,Дата (ГГГГ-ММ-ДД),Дата окончания сертификата
URL, , , 
**OCERTS**, , ,Сертификат/-ы (окончание блока)
**POSITION**, , ,Товарные позиции (окончание блока)
**HEAD**, , ,Окончание основного блока
**AGREEM**, , ,Окончание документа
