Название поля,Тип,Формат,Описание
**COACSU**, , ,Начало документа
ACTION,О,"«49E», «397»","49E — оригинал документа,
397 — ответный документ"
NUMBER,М,Строка (16),Номер документа
DATE,М,Дата (ГГГГ-ММ-ДД),Дата документа
COACSUNUMBER,О,Строка (16),"Номер Акта сверки, по которому идет подтверждение"
**PERIOD**, , ,Период (начало блока)
FROMDATE,М,Дата (ГГГГ-ММ-ДД),Дата начала периода
FROMTIME,O,Время (чч:мм),Время начала периода
TODATE,M,Дата (ГГГГ-ММ-ДД),Дата конца периода
TOTIME,O,Время (чч:мм),Время конца периода
**PERIOD**, , ,Период (окончание блока)
**CONTACTS**, , ,Контакты (начало блока)
CONTACTCODE,O,Строка (16),"ОС — менеджер, SA — директор"
NAME,О,Строка (35),Имя контакта
EMAIL,О,Строка (35),Электронный адрес
**CONTACTS**, , ,Контакты (окончание блока)
OPENINGBALANCE,O,Число десятичное,Начальное сальдо
CLOSINGBALANCE,O,Число десятичное,Закрытие баланса
PAYABLEAMOUNT,O,Число десятичное,Сальдо по товарам
RETURNABLEPACAMOUNT,О,Число десятичное,Сальдо тары
CURRENCY,O,Строка (3),Код валюты
CARRIERNAME,O,Строка (3),Название перевозчика/поставщика
CARRIERINN,O,Число (12),ИНН перевозчика/поставщика
INFO,O,Строка (70),Дополнительная информация
**HEAD**, , ,Начало основного блока
BUYER,M,Число (13),GLN покупателя
SUPPLIER,M,Число (13),GLN поставщика
SENDER,M,Число (13),GLN отправителя сообщения
RECIPIENT,M,Число (13),GLN получателя сообщения
EDIINTERCHANGEID,O,Строка (70),Номер транзакции
**POSITION**, , ,Товарные позиции (начало блока)
POSITIONNUMBER,М,"Число*1, 100]",Номер позиции
DOCNUMBER,M,Строка (16),Номер документа
PRODUCTIONCODE,О,Строка (16),Код алкогольной продукции
PRODINN,O,Число положительное,ИНН производителя/импортера
PARTYNAME,О,Строка (70),Название производителя
DELIVERYDATE,М,Дата (ГГГГ-ММ-ДД),Дата поставки
LICENSE,О,Строка (70),"Серия, номер лицензии"
LICGIVEN,М,Строка (70),Кем выдана лицензия
LICSTART,М,Дата (ГГГГ-ММ-ДД),Дата начала действия лицензии
LICEND,М,Дата (ГГГГ-ММ-ДД),Дата окончания действия лицензии
COUNTRYORIGIN,О,Строка (2),Страна производитель
CUSTOMSTARIFFNUMBER,О,Строка (30),Номер государственной таможенной декларации (ГТД)
VOLUME,О,Число положительное,Объем
VOLUMEUNIT,O,Строка (3),Единицы измерения
DOCDATE,M,Дата (ГГГГ-ММ-ДД),Дата документа
DOCNAME,O,Строка (7),Тип документа
DOCTYPE,O,Строка (1),"Тип документа: O — оригинал,
R — замена,
D — удаление"
LOCATION,O,Число (13),GLN точки продажи
PAYMENTNUMBER,O,Строка (16),Номер платежного документа
PAYBLEAMOUNT,О,Число десятичное,Сума к оплате
PAIDAMOUNT,M,Число десятичное,Оплаченная сума
RETURNABLEPACAMOUNT,О,Число десятичное,Сума возвратной тары
INCOMINGPACAMOUNT,О,Число десятичное,Сума приходной тары
DESCRIPTION,О,Строка (70),Описание
CAMPAIGNNUMBER,О,Строка (16),Номер договора на поставку
RECADVNUMBER,O,Строка (16),Номер ув. о приеме
RECADVDATE,O,Дата (ГГГГ-ММ-ДД),Дата ув. о приеме
DELIVERYNOTENUMBER,О,Строка (16),Номер накладной
INVOICEAMOUNT,О,Число десятичное,Сумма накладной
ACTION,О,"«1», «8»","1 — позиция принята,
8 — не принята"
**POSITION**, , ,Товарные позиции (окончание блока)
**HEAD**, , ,Окончание основного блока
**COACSU**, , ,Окончание документа
