Название поля,Тип,Формат,Описание
COMDIS, , ,Начало документа
NUMBER,М,Строка (16),Номер документа
DATE,М,Дата (ГГГГ-ММ-ДД),Дата документа
DOCNAME,М,Строка (7),Тип документа
DOCNUMBER,М,Строка (16),Номер счета
DOCDATE,О,Дата (ГГГГ-ММ-ДД),Дата счета
DOCACTION,М,"«1», «3», «5», «8»","1 — счет принят,
3 — условно принят,
5 — только для информации, 8 — не принят"
DELIVERYDATE,О,Дата (ГГГГ-ММ-ДД),Дата поставки
EARLIESTDELIVERY,О,Дата (ГГГГ-ММ-ДД),Наиболее ранняя дата доставки
ORDERNUMBER,О,Строка (16),Номер заказа
ORDERDATE,О,Дата (ГГГГ-ММ-ДД),Дата заказа
DESADVNUMBER,О,Строка (16),Номер ув. об отгрузке
RECADVNUMBER,O,Строка (16),Номер ув. о приеме
**HEAD**, , ,Начало основного блока
BUYER,М,Число (13),GLN покупателя
SUPPLIER,M,Число (13),GLN поставщика
SENDER,М,Число (13),GLN отправителя
RECIPIENT,М,Число (13),GLN получателя
DELIVERYPLACE,М,Число (13),GLN доставки
**DETAILS**, , ,Подробности (начало блока)
**LINE**, , ,Строка позиции (начало блока)
DISPUTEDINLINE,М,Число положительное,Номер позиции в счете
PRODUCT,О,"Число (8, 10, 14)",Штрихкод продукта
DESCRIPTION,О,Строка (70),Описание продукта
AMOUNTSUBJECT,O,Число десятичное,Сумма позиции
AMOUNTSUBJECTCURRENCY,О,Строка (3),Код валюты
QUANTITY,О,Число положительное,Поставляемое кол-во
UNIT,O,Строка (3),Единицы измерения
PRICE,O,Число десятичное,Цена продукта
**TAX**, , ,Логистика (начало блока)
TAXRATE,O,Число (3),"Ставка налога (НДС, %)"
TAXAMOUNT,O,Число десятичное,НДС
**TAX**, , ,Логистика (окончание блока)
AMOUNTSUBJECTREASON,М,Строка (3),"Причина дискуссии:
1 — для информации,
3 — товар был поврежден,
4 — недопоставка,
9 — ошибка в накладной,
14 — неправильная поставка,
17 — повреждениепри транспортировке,
26 — налоги,
32 — товары не доставили,
35 — товары вернули,
56 — неправильная скидка,
10E — неправильный штрихкод"
INFO,O,Строка (70),Свободный текст
**LINE**, , ,Строка позиции (начало блока)
**DETAILS**, , ,Подробности (окончание блока)
**HEAD**, , ,Окончание основного блока
**COMDIS**, , ,Окончание документа
