Назва поля,Тип,Формат,Опис
**ЕлектроннийДокумент**,М, ,Початок документу
**Заголовок**,М,Кількість входжень вузла: Min = 1; Max = 1, Заголовок (початок блоку)
НомерДокументу,М,Рядок (16),Номер документу
ТипДокументу,М,Рядок (50),"Типи документів:
Договір, Додаткова угода...(типи коммерційних документів)"
ТипСхеми,О,0 чи 1,0 - стандартна схема (з попереднім узгодженням); 1 - нестандартна схема (без попереднього узгодження)
КодТипуДокументу,М,«001» / «002» / «003» ...,"Допустимі значення:
001 => Договір; 002 => Додаткова угода; 003 => Протокол розбіжностей..."
ДатаДокументу,М,Дата (РРРР-ММ-ДД),Дата складання документу
ПричинаАнулювання, , ,"Причина, з якої документ анулюється (вважається недійсним)"
ДатаАнулювання, ,Дата (РРРР-ММ-ДД),"Дата, з якої документ анулюється (вважається недійсним)"
НомерЗамовлення,О,Рядок (20),Номер замовлення за документом
ПроцентШтрафу,О, ,Відсоток штрафу
ДатаЗамовлення,О,Дата (РРРР-ММ-ДД),Дата здійснення замовлення
НомерДоговоруПоставки,О, ,"Номер договору, за яким здійснюється поставка "
ДатаДоговоруПоставки,О,Дата (РРРР-ММ-ДД),"Дата договору, за яким здійснюється поставка "
ПлановаДатаДоставки, ,Дата (РРРР-ММ-ДД),Планова дата доставки 
МісцеСкладання, , ,Місце складання документу
НомерТовУзгодження,О,Рядок (16),Номер товарного узгодження 
ДатаТовУзгодження,О,Дата (РРРР-ММ-ДД),Дата товарного узгодження 
НомерКонтракту,О,Рядок (16),Номер контракту 
ДатаКонтракту,О,Дата (РРРР-ММ-ДД),Дата контракту 
**ТермінДії**,О,Кількість входжень вузла: Min = 0; Max = 1,"Термін, на період якого документ вважається чинним (початок блоку)"
Початок,М,Дата (РРРР-ММ-ДД),Дата початку дії документу
Кінець,М,Дата (РРРР-ММ-ДД),Дата закінчення терміну дії документу
**ТермінДії**, , ,"Термін, на період якого документ вважається чинним (завершення блоку)"
**ТермінПідпису**,О, ,"Термін, у межах якого можна підписати документ (початок блоку)"
Початок, ,Дата (РРРР-ММ-ДД),Дата початку терміну дії підписання
