НАЗВАНИЕ ПОЛЯ,Тип,Формат,Описание
**CONDRA**, , ,Начало документа
DATE,O,Дата (ГГГГ-ММ-ДД),Дата поступления на платформу EDI Network
NUMBER,M,Строка (16),Номер документа
CONTRACTNUMBER,О, ,Номер договора
COMPNUMBER, ,Свободный текст до 1000 символов,Составной номер
CONTRACTDATE, , ,Дата договора
**HEAD**, , ,Начало основного блока
SENDER,M,Число (13),GLN отправителя сообщения
RECIPIENT,M,Число (13),GLN получателя сообщения
TYPE,O,Строка (70),Тип неструктурированного документа
INFO,O,Строка (70),Информационное поле
DOCGUID,O,Строка (70),Идентификатор документа
TRANSGUID,O,Строка (70),Идентификатор транспортного контейнера
SUM,О,Число десятичное,Сумма документа
**CONTENT**, , ,Вложение (начало блока)
FILENAME,O,Строка (70),Имя файла
SIGNNAME,O,Строка (70),Имя файла подписи
**CONTENT**, , ,Вложение (окончание блока)
**HEAD**, , ,Окончание основного блока
**CONDRA**, , ,Окончание документа
