Название поля,Тип,Формат,Описание
CONTRL,,,Начало документа
NUMBER,M,Рядок (16),Номер документа RECADV (Уведомление о приеме)
DATE,M,Дата (РРРР-ММ-ДД ГГ:ММ:СС),Текущая дата
RECADVDATE,M,Дата (РРРР-ММ-ДД),Дата документа RECADV (Уведомление о приеме)
ORDERNUMBER,M,Рядок (16),Номер документа ORDER (Заказ)
ORDERDATE,M,Дата (РРРР-ММ-ДД),Дата документа ORDER (Заказ)
RECIPIENT,M,Число (13),GLN получателя
SUPPLIER,M,Число (13),GLN поставщика
BUYER,M,Число (13),GLN покупателя
ACTION,M,Число (1),Допустимое значение «1»
CONTRL,,,Окончание документа
