Название поля,Тип,Формат,Описание
**DESADV**, , ,Начало документа
NUMBER,М,Строка (16),Номер уведомления об отгрузке
DATE,М,Дата (ГГГГ-ММ-ДД),Дата документа
DELIVERYDATE,М,Дата (ГГГГ-ММ-ДД),Дата поставки
DELIVERYTIME,O,Время (чч:мм),Время поставки
ORDERNUMBER,M,Строка (50),Номер заказа
ORDERDATE,М,Дата (ГГГГ-ММ-ДД),Дата заказа
DELIVERYNOTENUMBER,М,Строка (16),Номер накладной
DELIVERYNOTEDATE,М,Дата (ГГГГ-ММ-ДД),Дата накладной
RECIPTYPE,О,Строка (1),"Доступные значение:
0 – «Прямая поставка на АТБ» (по умолчанию),
1 – «Поставка со складов Логистик Юнион»."
SUPPLIERORDENUMBER,O,Строка (35),Номер заказа в учетной системе поставщика
SUPPLIERORDERDATE,O,Дата (ГГГГ-ММ-ДД),Дата уведомления об отгрузке
INFO,O,Строка (70),Свободный текст
CAMPAIGNNUMBER,O,Строка (70),Номер договора на поставку
TRANSPORTQUANTITY,O,Число положительное,Количество машин
TRANSPORTMARK,O,Строка (70),Марка машины
TRANSPORTID,O,Строка (70),Номер транспортного средства
TRANSPORTERNAME,O,Строка (70),Имя водителя
TRANSPORTERTYPE,O,Строка (70),Тип транспорта
TRANSPORTTYPE,О,"Строка (2, 3)","Тип транспортировки:
20 — железнодорожный,
30 — дорожный,
40 — воздушный,
60 — спаренный,
100 — курьерская служба"
PACKAGEWIGHT,O,Число десятичное,Вес
TOTALPACKAGES,О,Число десятичное,Количество коробов
TOTALPALLETS,О,Число десятичное,Количество паллет
**HEAD**, , ,Начало основного блока
SUPPLIER,М,Число (13),GLN поставщика
SUPPLIERNAME,O,Строка (70),Имя поставщика
BUYER,М,Число (13),GLN покупателя
BUYERCODE,O,Строка (35),Код покупателя
DELIVERYPLACE,M,Число (13),GLN места доставки
FINALRECIPIENT,O,Число (13),GLN конечного консигнатора
SENDER,М,Число (13),GLN отправителя сообщения
SENDERNAME,O,Строка (70),Имя отправителя
SENDERPHONE,O,Строка (35),Телефон отправителя
SENDERCITY,O,Строка (70),Город отправителя
SENDERADRESS,O,Строка (70),Адрес отправителя
RECIPIENT,М,Число (13),GLN получателя сообщения
EDIINTERCHANGEID,O,Строка (70),Номер транзакции
**PACKINGSEQUENCE**, , ,Работа с товарными позициями (начало блока)
HIERARCHICALID,М,Число положительное,Номер иерархии упаковки
**POSITION**, , ,Товарные позиции (начало блока)
POSITIONNUMBER,М,Число положительное,Номер товарной позиции
PRODUCT,М,"Число (8, 10, 14)",Штрихкод продукта
PRODUCTIDSUPPLIER,О,Строка (16),Артикул в БД поставщика
PRODUCTIDBUYER,О,Строка (16),Артикул в БД покупателя
DELIVEREDQUANTITY,М,Число положительное,Поставляемое количество
DELIVEREDUNIT,О,Строка (3),Единицы измерения
ORDEREDQUANTITY,О,Число положительное,Заказанное количество9
ORDERUNIT,O,Строка (3),Единицы измерения
SSCC,O,Число (18),Серийный код транспортной упаковки
PARTYNAME,O,Строка(70),Название производителя
INVOICEDQUANTITY,O,Число положительное,Количество по счету
INVOICEUNIT,O,Строка (3),Единицы измерения
AMOUNT,O,Число десятичное,Сумма товара без НДС
AMOUNTWITHVAT,O,Число десятичное,Сумма товара сНДС
PORTAL_CERT,О,Строка (30),Номер сертификата
CUSTOMSTARIFFNUMBER,О,Строка (30),Номер государственной таможенной декларации (ГТД)
PRICE,O,Число десятичное,Цена продукта без НДС
PRICEWITHVAT,О,Число десятичное,Цена продукта c НДС
DISCOUNT,O,Число положительное,Скидка
TAXRATE,O,Число (3),"Ставка налога (НДС, %)"
CONDITIONSTATUS,О,Строка (3),Статус кондиции
DESCRIPTION,О,Строка (70),Описание продукта
PACKAGEID,O,Число положительное,Идентификатор упаковки
PARTNUMBER,O,Строка (35),Номер партии
SERIALNUMBER,О,Строка,"Номер серии, особенность для мед. поставщиков"
GOODDATE,О,Строка,"Срок годности, особенность для мед. поставщиков"
MINIMUMORDERQUANTITY,O,Число положительное,Минимальное заказанное количество
**OCERTS**, , ,Данные о вложенном сертификате к товарной позиции (начало блока). Может содержать несколько сертификатов [CERT]
**CERT**, , ,Начало блока под один конкретный сертификат
CERT_NUM,M,Строка (16),Номер документа (может содержать спец. символы)
CERT_TYPE,M,Строка (3),"Тип сертификата
* SS - сертификат соответствия
* SK - свидетельство качества
* DI - декларация импортера
* SES - свидетельство СЭС
* DP - декларация производителя
* KS - карантинный сертификат
* AFK - акт фитосанитарного контроля
* FS - фитосанитарный сертификат
* SFE - свидетельство фитосанитарной экспертизы
* PLI - протокол лабораторных испытаний
* EZ - экспертное заключение
* ST - сертификат типа"
BATCH,O,Строка (100),Номер партии на которую выдан сертификат
START_DATE,M,Дата (YYYY-MM-DD),Дата начала действия сертификата
END_DATE,O,Дата (YYYY-MM-DD),Дата окончания действия сертификата
URL,M,Строка (70),"Прямая хеш-ссылка на скан-копию. В XML передается с амперсандом - ""&amp;"""
URL,O,Строка (70),"вторая и последующие хеш-ссылки на скан-копии с ЭЦП. В XML передается с амперсандом - ""&amp;"""
**CERT**, , ,Конец блока под один конкретный сертификат
**OCERTS**, , ,Данные о вложенном сертификате к товарной позиции (окончание блока). Может содержать несколько сертификатов [CERT]
**POSITION**, , ,Товарные позиции (окончание блока)
**PACKINGSEQUENCE**, , ,Работа с товарными позициями (окончание блока)
**HEAD**, , ,Окончание основного блока
**DESADV**, , ,Окончание документа
