Название поля,Тип,Формат,Описание
**DESSCC**, , ,Начало документа
NUMBER,М,Строка (16),Номер документа
DATE,М,Дата (ГГГГ-ММ-ДД),Дата документа
DELIVERYDATE,О,Дата (ГГГГ-ММ-ДД),Дата доставки
DELIVERYTIME,О,Время (чч:мм),Время доставки
ORDERNUMBER,О,Строка (16),Номер заказа
ORDERDATE,О,Дата (ГГГГ-ММ-ДД),Дата заказа
DELIVERYNOTENUMBER,М,Строка (16),Номер накладной
DELIVERYNOTEDATE,О,Дата (ГГГГ-ММ-ДД),Дата накладной
CAMPAIGNNUMBER,О,Строка (16),Номер договора на поставку
TRANSPORTID,O,Строка (70),Номер транспортного средства
TRANSPORTMARK,O,Строка (70),Марка машины
TRANSPORTERNAME,O,Строка (70),Имя водителя
SELFSHIPMENT, , ,"Самовывоз; возможные значения: 0 - ""Нет"", 1 - ""Да"""
**HEAD**, , ,Начало основного блока
SUPPLIER,О,Число (13),Поставщик
BUYER,О,Число (13),Покупатель
DELIVERYPLACE,M,Число (13),Место доставки (РЦ)
SENDER,M,Число (13),Отправитель
RECIPIENT,M,Число (13),Получатель
EDIINTERCHANGEID,O,Строка (70),Номер транзакции
**PACKINGSEQUENCE**, , ,Работа с товарными позициями (начало блока)
HIERARCHICALID,М,Число положительное,Порядковый номер палеты
SSCC,М,"Число (14, 18)",Штрихкод транспортной упаковки
LOCATION,М,Число (13),Место доставки упаковки
DOCNUMBER,M,Строка (16),Номер документа
DOCDATE,M,Дата (ГГГГ-ММ-ДД),Дата документа
VOLUME,O,Число положительное,Объем
WEIGHT,O,Число десятичное,Вес
**POSITION**, , ,Товарные позиции (начало блока)
POSITIONNUMBER,М,Число положительное,Номер позиции
PRODUCT,М,"Число (8, 10, 14)",Штрихкод продукта
PRODUCTIDBUYER,О,Строка (35),Артикул в БД покупателя
DELIVEREDQUANTITY,М,Число положительное,Поставляемое кол-во
ORDEREDQUANTITY,О,Строка (3),Заказанное кол-во
DESCRIPTION,О,Строка (70),Описание продукта
COUNTRYORIGIN,О,Строка (2),Страна производитель (для импортного товара)
CUSTOMSTARIFFNUMBER,О,Строка (35),Номер государственной таможенной декларации (ГТД)
QUANTITYOFCUINTU,O,Число положительное,Кол-во в упаковке
PRICE,O,Число десятичное,Цена продукта
VAT,O,Число положительное,"Ставка НДС, %"
UNIT,O,Строка (3),Единицы измерения
DELIVEREDUNIT,O,Строка (3),Единицы измерения
PRODUCTIDSUPPLIER,О,Строка (35),Артикул в БД поставщика
BOTTLINGDATE,О,Дата (ГГГГ-ММ-ДД),Дата разлива
**POSITION**, , ,Товарные позиции (окончание блока)
**PACKINGSEQUENCE**, , ,Работа с товарными позициями (окончание блока)
**HEAD**, , ,Окончание основного блока
**DESSCC**, , ,Окончание документа
