Название поля,Тип,Формат,Описание
**IFTMIN**, , ,Начало документа
NUMBER,М,Строка (16),Номер документа
DATE,М,Дата (ГГГГ-ММ-ДД),Дата документа
DELIVERYDATE,М,Дата (ГГГГ-ММ-ДД),Дата поставки
DELIVERYTIME,О,Время (чч:мм),Время доставки
**DOCUMENT**, , ,Данные о документах (начало блока)
**DOCITEM**, , ,Данные о документе (начало блока)
DOCTYPE,О,Строка (1),"Тип документа: O — оригинал, R — замена, D — удаление"
DOCNUMBER,О,Строка (16),Номер документа перевозчика
**DOCITEM**, , ,Данные о документе (окончание блока)
**DOCUMENT**, , ,Данные о документах (окончание блока)
INSUARENCEVALUE,O,Число десятичное,Застрахованная стоимость
DECLAREDVALUE,O,Число десятичное,Задекларированная цена поставки
CASHONDELIVERY,O,Число десятичное,Сумма оплаты по факту поставки
TOTALPACKAGES,O,Число десятичное,Общее кол-во упаковок
PLACEOFDESPATCH,O,Строка (60),Название места отгрузки
CONSIGNORNUMBER,O,Строка (16),Номер грузоотправителя
CUSTOMERNUMBER,O,Строка (16),Номер заказчика логистических услуг
COMPAIGNNUMBER,O,Строка (16),Номер договора
EQUIPMENTTYPE,O,Строка (3),"Тип упаковки оборудования (палеты, ...)"
EQUIPMENTQUANTITY,O,Число десятичное,Кол-во оборудования
TOTALWEIGHT,O,Число десятичное,Общий вес груза
TOTALWEIGHTUNITS,O,Строка (3),Единица измерения
INFO,O,Строка (70),Свободный текст
**HEAD**, , ,Начало основного блока
CONSIGNOR,M,Число (13),GLN грузоотправителя
DELIVERYPLACE,M,Число (13),GLN место доставки
SENDER,M,Число (13),GLN отправителя сообщения
RECIPIENT,M,Число (13),GLN получателя сообщения
**POSITIONS**, , ,Товарные позиции (начало блока)
POSITIONNUMBER,М,"Число *1, 100+",Номер позиции
SSCC,M,Число (18),SSCC (Serial Shipping Container Code) — серийный код транспортной упаковки
PACKAGETYPE,O,Строка (3),Тип упаковки
PACKAGEQUANTITY,O,Число десятичное,Кол-во упаковок
PACKAGEQUANTITYUNITS,O,Строка (3),Единица измерения
PACKAGEWIGHT,O,Число десятичное,Вес
PACKAGEWEIGHTUNITS,O,Строка (3),Единица измерения
DELIVERYPLACE,M,Число (13),Место доставки позиции
DESCRIPTION,O,Строка (70),Описание продукта
INFO,O,Строка (70),Свободный текст
PRODUCTIDBUYER,O,Строка (35),Артикул в БД покупателя
MAXPACKAGEQUANTITY,O,Число десятичное,Максимальное количество упаковок
**POSITIONS**, , ,Товарные позиции (окончание блока)
**HEAD**, , ,Окончание основного блока
**IFTMIN**, , ,Окончание документа
