Название поля,Тип,Формат,Описание
**INSDES**, , ,Начало документа
NUMBER,М,Строка (16),Номер документа
DATE,М,Дата (ГГГГ-ММ-ДД),Дата документа
TIME,О,Время (чч:мм),Время документа
DELIVERYDATE,О,Дата (ГГГГ-ММ-ДД),Дата доставки
DELIVERYTIME,О,Время (чч:мм),Время доставки
DELIVERYINFO,О,Строка (70),Информация по доставке
ORDERNUMBER,О,Строка (16),Номер заказа
ORDERDATE,О,Дата (ГГГГ-ММ-ДД),Дата заказа
CAMPAIGNNUMBER,О,Строка (35),Номер договора на поставку
AMOUNT,О,Число десятичное,Цена
CURRENCY,О,Строка (3),Код валюты
**CONTACT**, , ,Контактная информация (начало блока)
NAME,О,Строка (70),Имя
EMAIL,О,Строка (70),Электронная почта
FAX,О,Строка (70),Факс
TELEPHONE,О,Строка (70),Телефон
**CONTACT**, , ,Контактная информация (окончание блока)
TRANSPORTTYPE,О,"Строка (2, 3)","Тип транспортировки:
20 — железнодорожный,
30 — дорожный,
40 — воздушный,
60 — спаренный,
100 — курьерская служба"
TOTALAMOUNT,О,Число десятичное,Общая цена поставляемой продукции
CURRENCY,О,Строка (3),Код валюты
**HEAD**, , ,Начало основного блока
ORDEREDBY,М,Число (13),Заказчик
LOGISTICPROVIDER,М,Число (13),Провайдер логистических услуг
SUPPLIER,О,Число (13),Поставщик
BUYER,О,Число (13),Покупатель
DELIVERYPLACE,M,Число (13),Место доставки
SENDER,M,Число (13),Отправитель
RECIPIENT,M,Число (13),Получатель
EDIINTERCHANGEID,O,Строка (70),Номер транзакции
**POSITION**, , ,Товарные позиции (начало блока)
POSITIONNUMBER,М,Число положительное,Номер позиции
PRODUCT,М,"Число (8, 10, 14)",Штрихкод продукта
PRODUCTIDSUPPLIER,О,Строка (35),Артикул в БД поставщика
PRODUCTIDBUYER,О,Строка (35),Артикул в БД покупателя
QUANTITY,М,Число положительное,Поставляемое кол-во
QUANTITYOFCUINTU,O,Число положительное,Кол-во в упаковке
QUANTITYUNIT,О,Строка (3),Единицы измерения
SSCC,О,"Число (14, 18)",Штрихкод транспортной упаковки
AMOUNT,О,Число десятичное,Цена
DELIVERYDATE,О,Дата (ГГГГ-ММ-ДД),Дата доставки данной продукции
DELIVERYTIME,О,Время (чч:мм),Время доставки
DELIVERYPLACE,M,Число (13),Место доставки
INFO,О,Строка (70),Примечание
PRICE,O,Число десятичное,Цена продукта
PRICE,O,Число десятичное,Цена продукта
VAT,O,Число положительное,"Ставка НДС, %"
**POSITION**, , ,Товарные позиции (окончание блока)
**HEAD**, , ,Окончание основного блока
**INSDES**, , ,Окончание документа
