Название поля,Тип,Формат,Описание
**INVOICE**, , ,Начало документа
DOCUMENTNAME,М,Строка (16),Название документа (380 — Счет)
NUMBER,М,Строка (16),Номер счета
DATE,М,Дата (ГГГГ-ММ-ДД),Дата создания счета
DELIVERYDATE,М,Дата (ГГГГ-ММ-ДД),Дата поставки
DELIVERYTIME,O,Время (чч:мм),Время поставки
CURRENCY,М,Строка (3),Код валюты
ORDERNUMBER,М,Строка (50),Номер заказа
ORDERDATE,М,Дата (ГГГГ-ММ-ДД),Дата заказа
DELIVERYNOTENUMBER,М,Строка (16),Номер накладной
DELIVERYNOTEDATE,М,Дата (ГГГГ-ММ-ДД),Дата накладной
RECADVNUMBER,O,Строка (16),Номер ув. о приеме
RECADVDATE,O,Дата (ГГГГ-ММ-ДД),Дата ув. о приеме
REFERENCEINVOICENUMBER,O,Строка (15),Номер счета
REFERENCEINVOICEDATE,O,Дата (ГГГГ-ММ-ДД),Дата счета
GOODSTOTALAMOUNT,М,Число десятичное,Всего без НДС
POSITIONSAMOUNT,М,Число десятичное,Всего по позициям
VATSUM,М,Число десятичное,Сумма НДС
INVOICETOTALAMOUNT,М,Число десятичное,Сумма по счету
TAXABLEAMOUNT,М,Число десятичное,База налогообложения
DISCOUNTAMOUNT,О,Число положительное,Сумма скидки
CONDITIONSAMOUNT,О,Число положительное,Согласованная сумма оплаты
FREIGHTCHARGE,О,Число положительное,Плата за перевозку груза
PAYMENTORDERNUMBER,О,Строка (35),Номер платежно-расчетного документа или зеленой марки
FISCALNUMBER,О,Строка (35),ИНН
REGISTRATIONNUMBER,О,Строка (35),ЕДРПОУ
VATNUMBER,О,Строка (16),Номер свид. НДС
CAMPAIGNNUMBER,О,Строка (16),Номер договора на поставку
MANAGER,О,Строка (35),Имя менеджера
ACCOUNTING,О,Строка (35),Имя главного бухгалтера
VAT,М,Число положительное,"Ставка НДС, %"
DOCUMENTSAFTERGOODSRECEIPT, , ,"Момент предоставления документов на поставку, возможные значения: 0 - До начала поставки товара; 1 - После поставки товара"
DOCTYPE,О,Строка (1),"Тип документа: O — оригинал, R — замена, D — удаление"
**HEAD**, , ,Начало основного блока
SUPPLIER,М,Число (13),GLN поставщика
SUPPLIERNAME,O,Строка (70),Имя поставщика
SUPPLIERADRESS,O,Строка (70),Адрес поставщика
SUPPLIERCITY,O,Строка (70),Город поставщика
SUPPLIERZIP,O,Строка (35),Индекс поставщика
BUYER,М,Число (13),GLN покупателя
BUYERNAME,O,Строка (35),Имя покупателя
BUYERADRESS,O,Строка (35),Адрес покупателя
BUYERCITY,O,Строка (35),Город покупателя
BUYERZIP,O,Число положительное,Индекс покупателя
BUYERINN,O,Число положительное,ИНН покупателя
DELIVERYPLACE,M,Число (13),GLN места доставки
DELIVERYTERMS,О, ,"Тип отгрузки; возможные значения: ""1 - Самовывоз; 2 - Доставка поставщиком"""
CONSEGNOR,О,Число (13),GLN грузоотправителя
