Название поля,Тип,Формат,Описание
**INVRPT**, , ,Начало документа
NUMBER,M,Строка (16),Номер документа
DATE,M,Дата (ГГГГ-ММ-ДД),Дата документа
CAMPAIGNNUMBER,O,Строка (70),Номер договора на поставку
**INVENTORYPERIOD**, , ,Период инвентаризации (начало блока)
FROMDATE,М,Дата (ГГГГ-ММ-ДД),Дата с
FROMTIME,О,Время (чч:мм),Время с
TODATE,М,Дата (ГГГГ-ММ-ДД),Дата по
TOTIME,О,Время (чч:мм),Время по
**INVENTORYPERIOD**, , ,Период инвентаризации (окончание блока)
**CONTACTFACE**, , ,Контактная информация (начало блока)
NAME,O,Строка (70),Имя
TELEPHON,O,Строка (70),Телефон
FAX,O,Строка (70),Факс
EMAIL,O,Строка (70),Электронная почта
**CONTACTFACE**, , ,Контактная информация (окончание блока)
CURRENCY,O,Строка (3),Код валюты
TIME,O,Время (чч:мм),Время создания документа
**HEAD**, , ,Начало основного блока
SUPPLIER,M,Число (13),GLN поставщика
BUYER,M,Число (13),GLN покупателя
HEADOFFICE,O,Число (13),GLN главного офиса продавца
SENDER,M,Число (13),GLN отправителя
RECIPIENT,M,Число (13),GLN получателя
DELIVERYPLACE,M,Число (13),GLN места доставки
VENDORCODE,О,Строка (35),Код производителя
SENDERMAIL,О,Строка (70),Электронная почта отпрвавителя
**POSITION**, , ,Товарные позиции (начало блока)
POSITIONNUMBER,M,Число положительное,Номер позиции
PRODUCT,M,"Число (8, 10, 14)",Штрихкод продукта
LOCATION,O,Число (13),GLN места продажи
LOCATIONTYPE, , , 
PRODUCTIDSUPPLIER,O,Строка (35),Артикул в БД поставщика
PRODUCTIDBUYER,O,Строка (35),Артикул в БД покупателя
PRODUCTIDMDLS,O,Строка (35),Артикул в БД склада
PRODUCTNAME,O,Строка (70),Описание продукта
ACTUALQUANTITY,M,Число положительное,Фактическое кол-во
ACTUALUNITS,O,Строка (3),Единицы измерения (см. Прил. 4) ﾧ
ACTUALQUANTITYEND,O,Число положительное,Общий остаток на конец
SOLDQUANTITY,O,Число положительное,Проданное кол-во
SOLDUNITS,O,Строка (3),Единица измерения
RECEIVEDQUANTITY,O,Число положительное,Принятое кол-во
RECEIVEDUNITS,O,Строка (3),Единица измерения
DELIVEREDQUANTITY,O,Число положительное,Отгружено
CORRECTIONQUANTITY,O,Число положительное,Откорректированное кол-во
CORRECTIONQUANTITYEND,O,Число целое,Доступный остаток на конец
CORRECTIONUNITS,O,Строка (3),Единица измерения
DAMAGEDQUANTITY,O,Число положительное,Поврежденное кол-во
DAMAGEDUNITS,O,Строка (3),Единица измерения
PRICE,O,Число десятичное,Цена продукта
PRICEUNITS,О,Строка (3),Единица измерения
CONDITIONSTATUSINFO,О,Строка (70),Описание статуса кондиции
CONDITIONSTATUS,О,Строка (3),Статус кондиции
PACKAGEID,O,Строка (15),Партия товару
SOLDQUANTITYEU,О,Число положительное,Проданное количество
BACKORDERS,О,Число положительное,Невыполненные продажи
TOTALSELLINQUANTITY,О,Число положительное,Всего товара
SELLINQUANTITY,О,Число положительное,Количество в продаже
**POSITION**, , ,Товарные позиции (окончание блока)
**HEAD**, , ,Окончание основного блока
**INVRPT**, , ,Окончание документа
