Название поля,Тип,Формат,Описание
**MSCONS**, , ,Начало документа
NUMBER,M,Строка (16),Номер документа
DATE,M,Дата (ГГГГ-ММ-ДД),Дата документа
COMPAIGNNUMBER,O,Строка (70),Номер договора
**PERIOD**, , ,Период отчета (начало блока)
FROMDATE,O,Дата (ГГГГ-ММ-ДД),Дата с
FROMTIME,O,Время (чч:мм),Время с
TODATE,O,Дата (ГГГГ-ММ-ДД),Дата по
TOTIME,O,Время (чч:мм),Время по
**PERIOD**, , ,Период отчета (окончание блока)
INFO,O,Число (13),Дополнительная информация
EDIINTERCHANGEID,O,Строка (70),Номер транзакции
**HEAD**, , ,Начало основного блока
SUPPLIER,M,Число (13),GLN поставщика
BUYER,M,Число (13),GLN покупателя
SENDER,M,Число (13),GLN отправителя
RECIPIENT,M,Число (13),GLN получателя
**LOCATION**, , ,Местоположение (начало блока)
LOCATIONNUMBER,M,Число положительное,Номер места продажи
LOCATION,M,Число (13),GLN места продажи
LOCATIONID,O,Строка (35),Внутренний код места продажи
ORDERNUMBER,O,Строка (35),Номер заказа
ORDERDATE,O,Дата (ГГГГ-ММ-ДД),Дата заказа
EXPDELIVERYDATE,O,Дата (ГГГГ-ММ-ДД),Ожидаемая дата поставки
FACTDELIVERYDATE,O,Дата (ГГГГ-ММ-ДД),Фактическая дата поставки
**POSITION**, , ,Товарные позиции (начало блока)
POSITIONNUMBER,M,Число положительное,Номер позиции
PRODUCT,M,"Число (8, 10, 14)",Штрихкод продукта
DESCRIPTION,O,Строка (70),Описание
PRODUCTIDSUPPLIER,O,Строка (16),Артикул в БД поставщика
PRODUCTIDBUYER,O,Строка (16),Артикул в БД покупателя
PRICE,O,Число десятичное,Цена продукта
ORDEREDQUANTITY,M,Число положительное,Заказанное количество
ORDERUNIT,О,Строка (3),Единицы измерения
DELIVEREDQUANTITY,O,Число положительное,Отгружено
PENALTYQUANTITY,O,Число положительное,"Количество товара,  по которому выставлены штрафы"
PENALTYUNIT,О,Строка (3),Единицы измерения
PENALTYSUM,O,Число положительное,Сумма штрафа по позиции
PENALTYDESCRIPTION,O,Строка (70),Описание штрафа
DELAYDAYS,O,Число положительное,Количество дней опоздания
**POSITION**, , ,Товарные позиции (окончание блока)
**LOCATION**, , ,Местоположение (окончание блока)
**HEAD**, , ,Окончание основного блока
**MSCONS**, , ,Окончание документа
