Название поля,Тип,Формат,Описание
**PRODUCTLIST**,M, ,Начало документа
NUMBER,M,Строка(16),Номер документа
DATE,M,Дата (ГГГГ-ММ-ДД),Дата документа
CONTRACTNUMBER,M,Строка(20),Номер контракта
CONTRACTDESCRIPTION,O,Строка (70),Описание контракта
CONTRACTEXPIRYDATE,M,Дата (ГГГГ-ММ-ДД),Дата окончание действия контракта
CONTRACTGLN,M,Число (13),GLN контракта
CAMPAIGNNUMBER,M,Строка(20),Номер договора
CAMPAIGNDATE,M,Дата (ГГГГ-ММ-ДД),Дата договора
REVIEWDEADLINE,О,Число (3),Срок подачи на рассмотрение
AGREEMENTNUMBER,О,Число (3),Допустимое количество согласований
DISCOUNTWORKSTATUS,M,"0,1","Работа с ценой со скидкой: 0 - нет, 1 - да"
PROLONGATIONCONTRACT,O,Число,"Автоматическая пролонгация контракта. Допустимые значения: 1 или 0. При указанном значении ""1"" поставщик при формировании док-та AGREEM на основании PRODUCTLIST может указать в теге DOCENDDATE любую дату. При указанном значении ""0"" дата в теге DOCENDDATE не должна превышать дату окончания действия контракта (тег CONTRACTEXPIRYDATE)."
REGIONID,О,Строка (100),Код региона
**HEAD**,M, ,Начало основного блока
BUYER,M,Число (13),GLN покупателя
SUPPLIER,M,Число (13),GLN продавца
RECIPIENT,M,Число (13),GLN получателя
SENDER,M,Число (13),GLN отправителя
**POSITION**,М, ,Товарные позиции (начало блока)
POSITIONNUMBER,М,Число положительное,Номер товарной позиции
ACTION,O,"Число (4,2)","Возможные значения: 4 - удаление товарной позиции, 2 - ввод товарной позиции (новинка); при указанном значении 2 позиция в товарном справочнике подcвечивается красным и на нее можно создать COMDOC 008."
PRODUCT,M,"Число (8, 10, 14)",Штрихкод продукта
PRODUCTIDBUYER,M,Строка (15),Внутренний номер в БД
DESCRIPTION,M,Строка (255),Описание продукта
UCCFEA,M,Число (4-10),Код УКТ ВЭД
DISCOUNTPRICE,O,Число десятичное (10),Цена со скидкой без НДС
DISCOUNTPRICEWITHVAT,О,Число десятичное (10),Цена со скидкой с НДС
DISCOUNTDATEFROM,O,Дата (ГГГГ-ММ-ДД),Начало действия цены со скидкой
DISCOUNTDATETO,O,Дата (ГГГГ-ММ-ДД),Окончание действия цены со скидкой
PRICE,M,Число десятичное (10),Цена без НДС
PRICEWITHVAT,O,Число десятичное (10),Цена с НДС
PRICEDATEFROM,O,Дата (ГГГГ-ММ-ДД),Начало действия цены
PRICEDATETO,O,Дата (ГГГГ-ММ-ДД),Окончание действия цены
PROMO,O,Число десятичное,Промо цена без НДС
PROMOWITHVAT,O,Число десятичное,Промо цена с НДС
PROMODATEFROM,O,Дата (ГГГГ-ММ-ДД),Начало действия промо цены
PROMODATETO,O,Дата (ГГГГ-ММ-ДД),Окончание действия промо цены
PROMOQUANTITY,O,Число,Количество товара
VAT,M,"Число десятичное (20, 7, 0)","Ставка НДС, %"
UNIT,M,Строка (3),Единицы измерения
**POSITION**, , ,Товарные позиции (окончание блока)
**HEAD**, , ,Окончание основного блока
**PRODUCTLIST**, , ,Окончание документа
