Название поля,Тип,Формат,Описание
**QUOTES**, , ,Начало документа
NUMBER,М,Строка (16),Номер документа
DATE,М,Дата (ГГГГ-ММ-ДД),Дата документа
DELIVERYDATE,М,Дата (ГГГГ-ММ-ДД),Ожидаемая дата доставки
DELIVERYTIME,О,Время (чч:мм),Ожидаемое время доставки
ORDERNUMBER,М,Строка (50),Номер заказа на поставку
ORDERDATE,М,Дата (ГГГГ-ММ-ДД),Дата заказа на поставку
DESADVNUMBER,М,Строка (16),Номер уведомления об отгрузке
DESADVDATE,М,Дата (ГГГГ-ММ-ДД),Дата уведомления об отгрузке
DELIVERYNOTENUMBER,М,Строка (16),Номер накладной
DELIVERYNOTEDATE,М,Дата (ГГГГ-ММ-ДД),Дата накладной
CAMPAIGNNUMBER,О,Строка (70),Номер договора на поставку (контракта)
**HEAD**, , ,Начало основного блока
SUPPLIER,М,Число (13),GLN поставщика
BUYER,М,Число (13),GLN покупателя
DELIVERYPLACE,М,Число (13),GLN места доставки
SENDER,М,Число (13),GLN отправителя сообщения
RECIPIENT,М,Число (13),GLN получателя сообщения
**PACKINGSEQUENCE**, , ,Работа с товарными позициями (начало блока)
HIERARCHICALID,М,Число положительное,Номер иерархии упаковки
**POSITION**, , ,Товарные позиции (начало блока)
POSITIONNUMBER,М,Число положительное,Номер товарной позиции
PRODUCT,М,"Число (8, 10, 14)",Штрих-код продукта
PRODUCTIDSUPPLIER,О,Строка (16),Артикул в БД поставщика
PRODUCTIDBUYER,О,Строка (16),Артикул в БД покупателя
DELIVEREDQUANTITY,М,Число положительное,Поставляемое количество
DELIVEREDUNIT,О,Строка (3),Единицы измерения
ORDEREDQUANTITY,О,Число положительное,Заказанное количество
ORDERUNIT,О,Строка (3),Единицы измерения
CUSTOMSTARIFFNUMBER,О,Строка (30),Номер государственной таможенной декларации (ГТД)
PRICE,О,Число десятичное,Цена продукта без НДС
PRICEWITHVAT,О,Число десятичное,Цена продукта c НДС
DESCRIPTION,О,Строка (70),Описание продукта
**BATCHNUMBERS**, , ,Список серийных номеров (начало блока)
BATCHNUMBER,М,Строка (150),Серийный номер позиции (ограничение в 150 символов)
**BATCHNUMBERS**, , ,Список серийных номеров (окончание блока)
**POSITION**, , ,Товарные позиции (окончание блока)
**PACKINGSEQUENCE**, , ,Работа с товарными позициями (окончание блока)
**HEAD**, , ,Окончание основного блока
**QUOTES**, , ,Окончание документа
