Название поля,Тип,Формат,Описание
**RECADV**, , ,Начало документа
NUMBER,М,Строка (16),Номер ув. о приеме
DATE,М,Дата (ГГГГ-ММ-ДД),Дата документа
ACTION, , ,действие
RECEPTIONDATE,М,Дата (ГГГГ-ММ-ДД),Дата приема
RECEPTIONTIME,O,Время (чч:мм),Время приема
ORDERNUMBER,О,Строка (50),Номер заказа
ORDERDATE,О,Дата (ГГГГ-ММ-ДД),Дата заказа
DESADVNUMBER,М,Строка (16),Номер ув. об отгрузке
DESADVDATE,О,Дата (ГГГГ-ММ-ДД),Дата ув. об отгрузке
DELIVERYNOTENUMBER,О,Строка (16),Номер накладной
DELIVERYNOTEDATE,O,Дата (ГГГГ-ММ-ДД),Дата накладной
CAMPAIGNNUMBER,О,Строка (16),Номер договора на поставку
DOCTYPE,О,Строка (1),"Тип документа: O — оригинал, R — замена, D — удаление"
SUPPLIERORDENUMBER,O,Строка (35),Номер заказа в учетной системе поставщика
SUPPLIERORDERDATE,O,Дата (ГГГГ-ММ-ДД),Дата уведомления об отгрузке
TRANSPORTID,O,Число положительное,Номер транспортного средства
TOTALPACKAGES,O,Число десятичное,Общее кол-во упаковок
SUPORDER,O,Строка (35),Номер заказа поставщика
KDKNUM,O,Строка (35),Номер общего заказа КДК
ORDRTYPE,O,Строка (35),Тип заказа
INFO,O,Число (13),Дополнительная информация
BUYERACTNUMBER, , ,номер документа(акта) покупателя
GOODSTOTALAMOUNT,М,Число десятичное,Всего без НДС
INVOICETOTALAMOUNT,М,Число десятичное,Сумма по счету
TOTALVAT,O,Число положительное,Общаа ставка НДС
TOTALAMOUNT,O,Число положительное,Сумма по документу без НДС
TOTALAMOUNTWITHVAT,O,Число положительное,Сумма по документу с НДС
**HEAD**, , ,Начало основного блока
SUPPLIER,М,Число (13),GLN поставщика
SUPPLIERNAME,O,Строка (70),Имя поставщика
BUYER,М,Число (13),GLN покупателя
BUYERCODE,O,Строка (35),Код покупателя
DELIVERYPLACE,М,Число (13),GLN места доставки
FINALRECIPIENT,O,Число (13),GLN конечного консигнатора
LOGISTICPARTNER,O,Число (13),GLN перевозчика
SENDER,О,Число (13),GLN отправителя
SENDERNAME,O,Строка (70),Имя отправителя
SENDERPHONE,O,Строка (35),Телефон отправителя
SENDERCITY,O,Строка (70),Город отправителя
SENDERADRESS,O,Строка (70),Адрес отправителя
RECIPIENT,М,Число (13),GLN получателя
RECIPIENTCODE,О,Строка (35),Код получателя
RECIPIENTNAME,O,Строка (70),Имя получателя
RECIPIENTCONTACTFACE,O,Строка (70),Контактное лицо
RECIPIENTPHONE,O,Строка (35),Телефон получателя
RECIPIENTCITY,O,Строка (35),Город получателя
RECIPIENTADRESS,O,Строка (70),Адрес получателя
INVOICEPARTNER,O,Число (13),GLN плательщика
EDIINTERCHANGEID,O,Строка (70),Номер транзакции
**PACKINGSEQUENCE**, , ,Работа с товарными позициями (начало блока)
HIERARCHICALID,М,Число положительное,Номер иерархии упаковки
**POSITION**, , ,Товарные позиции (начало блока)
POSITIONNUMBER,М,Число положительное,Номер товарной позиции
PRODUCT,М,"Число (8, 10, 14)",Штрихкод продукта
PRODUCTIDSUPPLIER,О,Строка (16),Артикул в БД поставщика
PRODUCTIDBUYER,О,Строка (16),Артикул в БД покупателя
BUYERPARTNUMBER,О,Строка (16),Внутренний системный номер артикула в БД покупателя
ACCEPTEDQUANTITY,М,Число положительное,Принятое количество
ACCEPTEDUNIT,O,Строка (3),Единицы измерения
DELIVERQUANTITY,М,Число положительное,Поставляемое количество
ORDERQUANTITY,М,Число положительное,Заказанное количество
DELTAQUANTITY,O,Число положительное,Рассхождение
PRICE,O,Число десятичное,Цена продукта
AMOUNT,O,Число десятичное,Сумма товара (без НДС)
CONDITIONSTATUS,О,Строка (3),Статус кондиции
DESCRIPTION,О,Строка (70),Описание продукта
PACKAGEID,O,Число положительное,Идентификатор упаковки
**POSITION**, , ,Товарные позиции (окончание блока)
**PACKINGSEQUENCE**, , ,Работа с товарными позициями (окончание блока)
**HEAD**, , ,Окончание основного блока
**RECADV**, , ,Окончание документа
