Название поля,Тип,Формат,Описание
**SLSRPT**, , ,Начало документа
NUMBER,M,Строка (16),Номер документа
DATE,M,Дата (ГГГГ-ММ-ДД),Дата документа
CAMPAIGNNUMBER,O,Строка (35),Номер продавца в учетной системе заказчика
TIME,О,Время (чч:мм),Время составления документа
**SALESPERIOD**, , ,Период продаж (начало блока)
FROMDATE,M,Дата (ГГГГ-ММ-ДД),Дата продаж с
FROMTIME,О,Время (чч:мм),Время продаж с
TODATE,О,Дата (ГГГГ-ММ-ДД),Дата продаж по
TOTIME,О,Время (чч:мм),Дата продаж по
**SALESPERIOD**, , ,Период продаж (окончание блока)
**SALESADMINISTRATOR**, , ,Контакты администратора (начало блока)
NAME,O,Строка (70),Имя
TELEPHON,O,Строка (70),Телефон
FAX,O,Строка (70),Факс
EMAIL,O,Строка (70),Электронная почта
**SALESADMINISTRATOR**, , ,Контакты администратора (окончание блока) 
CURRENCY,M,Строка (3),Код валюты
SLSRPTTOTALAMOUNT,О,Строка (70),Всего без НДС
**HEAD**, , ,Начало основного блока
BUYER,M,Число (13),GLN покупателя
SUPPLIER,M,Число (13),GLN поставщика
SENDER,M,Число (13),GLN отправителя
RECIPIENT,M,Число (13),GLN получателя
**PLACE**, , ,Логистика (начало блока)
PLACENUMBER,M,Число положительное,Номер места продажи
PLACE,M,Число (13),GLN места продажи
VENDORCODE,О,Строка (35),Код производителя
PARTNERCODE,О,Строка (35),Код партнера
CUSTOMERNAME,О,Строка (70),Имя покупателя
CUSTOMERCITY,О,Строка (35),Город покупателя
COUNTRYCODE,О,Строка (2),Двухзначный код страны
SENDERMAIL,О,Строка (70),Электронная почта
CUSTOMERTOTALAMOUNT,О,Строка (70),Всего без НДС
**SALESPERIOD**, , ,Период продаж (начало блока)
FROMDATE,O,Дата (ГГГГ-ММ-ДД),Дата продаж с
FROMTIME,O,Время (чч:мм),Время продаж с
TODATE,O,Дата (ГГГГ-ММ-ДД),Дата продаж по
TOTIME,O,Время (чч:мм),Дата продаж по
**SALESPERIOD**, , ,Период продаж (окончание блока)
**POSITION**, , ,Товарные позиции (начало блока)
PRODUCTNUMBER,M,Число положительное,Номер позиции
PRODUCT,M,"Число (8, 10, 14)",Штрихкод продукта
PRODUCTIDSUPPLIER,O,Строка (35),Артикул в БД поставщика
PRODUCTIDBUYER,O,Строка (35),Артикул в БД покупателя
PRODUCTIDMDLS,O,Строка (35),Артикул в БД склада
PRODUCTNAME,O,Строка (70),Описание продукта
PRICELISTNUMBER,O,Строка (35),Номер прайс-листа
AMOUNT,O,Число десятичное,Сумма проданного товара
PRICE,M,Число десятичное,Цена продукта
SOLDQUANTITY,M,Число положительное,Проданное кол-во
DEALCODE, , , 
INVOICENUMBER,O,Строка (16),Номер счета
INVOICEDATE,O,Дата (ГГГГ-ММ-ДД),Дата счета
SHIPMENTDATE,O,Дата (ГГГГ-ММ-ДД),Дата отгрузки
RETURNEDQUANTITY,O,Число положительное,Возвращенное количество
**POSITION**, , ,Товарные позиции (окончание блока)
**PLACE**, , ,Логистика (окончание блока)
**HEAD**, , ,Окончание основного блока
**SLSRPT**, , ,Окончание документа
