Параметр,Формат,Описание
.. _User: , Объект **User**,
id,long,id пользователя; число
accountId,long,id аккаунта
login,String,логин пользователя; строка 50 символов
stringEmails,String,E-mail; строка 255 символов
emails,List<String>,массив адресов E-mail
blocked,int,"отметка о блокировке; число; 0 - нет, 1 - да"
allowFTP,int,"отметка доступа к FTP; число; 0 - нет, 1 - да"
autoSending,boolean,"автоотправка; число; 0 - Нет, 1 - Да (документы автоматически отправляются при переносе документа для отправки в папку outbox)"
statusFile,int,"создание статус-файлов; число; 0 - Нет, 1 - Да, 2 - Да, о доставке, 3 - Да, о прочтении"
isAdmin,boolean,"отметка, является ли пользователь админом в управление пользователями; число; 0 - нет, 1 - да"
