Параметр,Формат,Описание
.. _XChain: , Объект **XChain**,
id,long,ID шарда
uuid,UUID,UUID цепочки документов
packageID,long,ID пакета
**type**,XDocType_,объект; тип документа
docsCount,int,количество документов в цепочке
lastInDocID,long,id последнего входящего документа в цепочке
lastOutDocID,long,id последнего исходящего документа в цепочке
partnerId,long,id розничной сети
important,boolean,"флаг наличия отметки ""важный"" документ"
**status**,XChainStatus_,объект; статус пары документов у отправителя и получателя
visualStatus,int,"флаг, который содержит номер иконки"
archive,boolean,"флаг; ""архивный"" документ или нет"
**childs**,List<XDoc_>,массив объектов; данные документов/квитанций
**chainsInPackage**,List<XChain_>,массив объектов; данные связанных цепочек
hash,String,"хэш-значение, полученное в результате обработки"
