Название поля,Тип,Формат,Описание
**ACT**, , ,Начало документа
NUMBER,М,Строка (16),Номер документа
DATE,М,Дата (ГГГГ-ММ-ДД),Дата документа
PERIOD,М,Дата (ГГГГ-ММ-ДД),Период
CAMPAIGNNUMBER,М,Строка (16),Номер договора на поставку
POSITIONSAMOUNT,М,Число десятичное,Сумма по вем позициям без НДС
VATSUM,М,Число десятичное,Сума НДС
TOTALAMOUNT,М,Число десятичное,Общая сумма с НДС
CURRENCY,М,Строка (3),Код валюты
DOCTYPE,М,Строка (1),"Тип документа: O — оригинал, R — замена, D — удаление"
INFO,О,Строка (70),Информация
**HEAD**, , ,Начало основного блока
PERFORMER,М,Число (13),GLN исполнителя
PERFORMERNAME,О,Строка (70),Название исполнителя
PERFORMERNDSNUMBER,О,Строка (35),Номер свид. НДС исполнителя
PERFORMERFISCALNUMBER,О,Строка (35),ИНН исполнителя
PERFORMERREGISTRATIONNUMBER,О,Строка (35),Номер регистрации исполнителя
PERFORMERDIRECTOR,О,Строка (70),Отвественный со стороны исполнителя
PERFORMERACCOUNT,О,Строка (35),Код исполнителя
PERFORMERTELEPHONE,О,Строка (35),Телефон исполнителя
PERFORMERADRESS,О,Строка (70),Адрес исполнителя
PERFORMERBANKNAME,О,Строка (35),Название банка исполнителя
PERFORMERBANKNUMBER,О,Строка (35),МФО банка исполнителя
PERFORMERBANKACCOUNT,О,Строка (35),Номер р/с исполнителя
CUSTOMER,М,Число (13),GLN заказчика
CUSTOMERNAME,О,Строка (70),Название заказчика
CUSTOMERNDSNUMBER,О,Строка (35),Номерсвид.НДС заказчика
CUSTOMERFISCALNUMBER,О,Строка (35),ИНН заказчика
CUSTOMERREGISTRATIONNUMBER,О,Строка (35),Номер регистрации заказчика
CUSTOMERDIRECTOR,О,Строка (70),Отвественный от заказчика
CUSTOMERACCOUNT,О,Строка (35),Код заказчика
CUSTOMERTELEPHONE,О,Строка (35),Телефон заказчика
CUSTOMERADRESS,О,Строка (35),Адрес заказчика
CUSTOMERBANKNAME,О,Строка (35),Название банка заказчика
CUSTOMERBANKNUMBER,О,Строка (35),МФО банка заказчика
CUSTOMERBANKACCOUNT,О,Строка (35),Номер р/с заказчика
SENDER,М,Число (13),GLN отправителя
RECIPIENT,М,Число (13),GLN получателя
**POSITION**, , ,Товарные позиции (начало блока)
POSITIONNUMBER,М,"Число [*1, 100]",Номер позиции
MATERIALASSETS,О,Строка (70),Описание продукта
QUANTITY,O,Число положительное,Количество товара
QUANTITYUNIT,O,Число положительное,Количество в упаковке
QUANTITYFORSPECIAL,O,Число положительное,Количество в спец.упаковке
PRICE,М,Число десятичное,Цена за единицу (без НДС)
PRICEFORSPECIAL,O,Число положительное,Цена спец.укпаковки (без НДС)
AMOUNT,М,Число десятичное,Сумма товара (без НДС)
PENALTYAMOUNT,О,Число десятичное,Сумма штрафа
TOTALAMOUNT,О,Число десятичное,Общая цена поставляемой продукции
TAXRATE,М,Число (3),"Ставка налога (НДС, %)"
INFO,О,Строка (70),Информация
DATE,О,Дата (ГГГГ-ММ-ДД),Дата
SERVICEMADEDATE,О,Дата (ГГГГ-ММ-ДД),Дата предоставления услуги
**POSITION**, , ,Товарные позиции (окончание блока)
**HEAD**, , ,Окончание основного блока
**ACT**, , ,Окончание документа
