НАЗВАНИЕ ПОЛЯ,ТИП,ФОРМАТ,ОПИСАНИЕ
**Document-Invoice**, , ,Начало документа
**Invoice-Header**,М, ,Начало основного блока
InvoiceNumber,М,Строка (16),номер ТН (номер RECADV)
InvoiceDate,М,Дата (ГГГГ-ММ-ДД),дата ТН
InvoiceCurrency,М,Строка (3),валюта
InvoicePostDate,O,Дата (ГГГГ-ММ-ДД),дата отправки ТН
InvoicePostTime,O,Время (чч:мм),время отправки ТН
DocumentFunctionCode,М,"TN"" / ""CTN","Код типа документа:
""TN"" - товарная накладная
""CTN"" - корректировочная товарная накладная"
ContractNumber,О,Строка (16),номер договора на поставку
ContractDate,М,Дата (ГГГГ-ММ-ДД),дата контракта
**Invoice-Header**, , ,Окончание основного блока
**Invoice-Reference**, , ,Основание (начало блока)
**Order**, , ,Заказ (начало блока)
BuyerOrderNumber,О,Строка (50),Номер заказа
BuyerOrderDate,О,Дата (ГГГГ-ММ-ДД),Дата заказа
**Order**, , ,Заказ (окончание блока)
**TaxInvoice**,М, ,Налоговая накладная (начало блока)
TaxInvoiceNumber,М,Строка (35),номер налоговой накладной
TaxInvoiceDate,М,Дата (ГГГГ-ММ-ДД),дата налоговой накладной (должна совпадать с датой товарной накладной)
**TaxInvoice**, , ,Налоговая накладная (окончание блока)
**DespatchAdvice**,М, ,Уведомление об отгрузке (начало блока)
DespatchAdviceNumber,М,Строка (16),Номер уведомления об отгрузке
**DespatchAdvice**, , ,Уведомление об отгрузке (окончание блока)
**ReceivingAdvice**, , ,Уведомление о приеме (начало блока)
ReceivingAdviceNumber,М,Строка (16),"Номер уведомления о приеме (RECADV). В случае корректировки возврата, должен быть указан номер акта на возврат"
DeliveryDate,O,Дата (ГГГГ-ММ-ДД),"Дата приемки. В случае корректировки возврата, дата акта на возврат"
**ReceivingAdvice**, , ,Уведомление о приеме (окончание блока)
**Invoice-Reference**, , ,Основание (окончание блока)
**Invoice-Parties**, , ,Блок контрагентов (начало)
**Buyer**, , ,Блок покупателя (начало)
ILN,М,Число (13),GLN покупателя
TaxID,М,Строка (35),Налоговый идентификационный номер покупателя
UtilizationRegisterNumber,М,Строка (35),ЕДРПОУ покупателя
Name,М,Строка (175),название покупателя
StreetAndNumber,М,Строка (35),улица и номер дома покупателя
CityName,М,Строка (35),город покупателя
PostalCode,М,Строка (9),почтовый код покупателя
Country,O,Строка (3),код страны покупателя (код ISO 3166)
PhoneNumber,М,Строка (35),телефон покупателя
**Buyer**, , ,Блок покупателя (окончание)
**Seller**, , ,Блок продавца (начало)
ILN,М,Число (13),GLN продавца
TaxID,М,Строка (35),Налоговый идентификационный номер продавца
CodeByBuyer,М,Строка (35),номер договора на поставку
UtilizationRegisterNumber,М,Строка (35),ЕДРПОУ продавца
Name,М,Строка (175),название продавца
StreetAndNumber,М,Строка (35),улица и номер дома продавца
CityName,М,Строка (35),город продавца
PostalCode,М,Строка (9),почтовый код продавца
Country,O,Строка (3),код страны продавца (код ISO 3166)
PhoneNumber,М,Строка (35),телефон продавца
**Seller**, , ,Блок продавца (окончание)
**DeliveryPoint**,M, ,Точка доставки (начало)
ILN,М,Число (13),GLN точки доставки (МЕТРО)
DeliveryPlace,М,Строка (35),код точки доставки (не должен превышать два знака)
**DeliveryPoint**, , ,Точка доставки (окончание)
**Invoicee**, , ,Счет (начало блока)
ILN,M,Число (13),GLN для выставления счета
**Invoicee**, , ,Счет (окончание блока)
**Payer**, , ,Плательщик (начало блока)
ILN,M,Число (13),GLN плательщика
**Payer**, , ,Плательщик (окончание блока)
**Invoice-Parties**, , ,Блок контрагентов (окончание)
**Invoice-Lines**, , ,Строки ТН (начало блока)
**Line**, , ,Строка (начало блока)
**Line-Item**, , ,Позиция (начало блока)
LineNumber,М,Целое число,номер позиции в табличной части
ExternalItemCode,О,Строка (18),код товара согласно справочника УКТ ВЭД
EAN,М,Число (14),Штрих-код продукта
BuyerItemCode,О,Строка (16),Артикул в БД покупателя
ItemDescription,М,Строка (210),Описание товара
InvoiceQuantity,M,Число положительное,Заказанное количество (количество товара по накладной)
UnitOfMeasure,О,Строка (3),Единицы измерения
InvoiceUnitNetPrice,M,Число положительное,Цена одной единицы без НДС
TaxRate,M,Число положительное,"Ставка НДС (20%, 7%, 0%)"
TaxCategoryCode,M,E / S,"Код категории налога:
E - освобожден от уплаты налога
S - стандартный налог"
TaxAmount,M,Число положительное,Сумма НДС по артикулу = сумма сумм без НДС по артикулах * ставку (округляется  до 2 знаков)
NetAmount,M,Число положительное,Всего без НДС (вычисляется)
**Line-Item**, , ,Позиция (окончание блока)
**Line**, , ,Строка (окончание блока)
**Invoice-Lines**, , ,Строки ТН (окончание блока)
**Invoice-Summary**, , ,Итоги (начало блока)
TotalLines,M,Целое число,Количество строк в документе
TotalNetAmount,M,Число положительное,Общая сумма без НДС
TotalTaxAmount,M,Число положительное,Сумма НДС
TotalGrossAmount,M,Число положительное,Общая сумма с НДС
**Tax-Summary**, , ,Налоги (начало блока)
**Tax-Summary-Line**, , ,Строка налогов (начало блока)
TaxRate,M,Число положительное,Размер налога
TaxCategoryCode,M,E / S,"Код категории налога:
E - освобожден от уплаты налога
S - стандартный налог"
TaxAmount,M,Число положительное,Сумма налога для каждой категории налога
TaxableAmount,M,Число положительное,Налогооблагаемая сумма по выбранной категории налога
**Tax-Summary-Line**, , ,Строка налогов (окончание блока)
**Tax-Summary**, , ,Налоги (окончание блока)
**Invoice-Summary**, , ,Итоги (окончание блока)
**Document-Invoice**, , ,Окончание документа
