Назначение поля,Тип,Формат,Описание
**IFTMBF**, , ,Начало документа
NUMBER,M,Строка (16),Номер документа
DATE,O,Дата (ГГГГ-ММ-ДД),Дата документа
TIME,O,Время (ЧЧ:ММ),Время документа
DOCTYPE,О,Строка (1),"Тип документа: O — оригинал, R — замена, D — удаление"
VERSION,O,Число десятичное,Версия заказа транспортировки
TRANSPORTATIONCONDITION,О,Строка (1),Условия транспортировки
TRANSPORTATIONCOST,O,Число (10),Стоимость транспортировки
DATEFROM,O,Дата (ГГГГ-ММ-ДД),Дата погрузки / прибытия транспорта
TIMEFROM,O,Время (чч:мм),Время погрузки / прибытия транспорта
DELIVERYDATE,O,Дата (ГГГГ-ММ-ДД),Дата доставки
DELIVERYTIME,O,Время (чч:мм),Время доставки
PORTOFLOADING,O,Строка (70),Место погрузки (Морской порт)
INFO,O,Строка (70),Дополнительная информация
TOTALWEIGHT,O,Число десятичное,Общий вес
TOTALWEIGHTUNIT,O,Строка (3),Единицы измерения (согласно справочнику)
TOTALVOLUME,O,Число десятичное,Общий объем
TOTALVOLUMEUNIT,O,Строка (3),Единицы измерения
TOTALEQUIPMENTQUANTITY,O,Число десятичное,Общее количество оборудования
ORDERNUMBER,O,Строка (35),Номер заказа товара
CAMPAIGNNUMBER,O,Строка (35),Номер договора на поставку
**TRANSPORTDETAILS**, , ,Данные по транспорту (начало блока)
TRANSPORTATIONTYPE,O,"Строка (1, 2)","Тип перевозки (согласно справочнику):
1 — в пределах страны;
10— транспорт (погрузчик), который доставляет груз до машины перевозчика;
11— за пределы страны;
13 — транспорт, который достигает места назначения;
25 — перевозчик, ответственный от места отгрузки до места доставки;
30 — перевозка товара после доставки к пункту назначения
TRANSPORTTYPE|O|Строка (2, 3)|Тип транспорта (согласно справочнику): 10 — морской;
20 — железнодорожный;
30 — автомобильный;
40 — воздушный;
50 — смешанный;
80 — речной;
100 — курьерская доставка"
**TRANSPORTDETAILS**, , ,Данные по транспорту (окончание блока)
**CONTACT**, , ,Контакты (начало блока)
NAME,O,Строка (70),Имя
EMAIL,O,Строка (70),Электронная почта
FAX,O,Строка (70),Факс
TELEPHONE,O,Строка (70),Телефон
**CONTACT**, , ,Контакты (окончание блока)
**HEAD**, , ,Данные по маршруту (начало основного блока)
ORDEREDBY,М,Число (13),Заказчик
LOGISTICPROVIDER,M,Число (13),GLN провайдера логистических услуг
BUYER,M,Число (13),GLN покупателя
SUPPLIERNAME,O,Строка (70),Имя поставщика
SUPPLIERADRESS,O,Строка (70),Адрес поставщика
SUPPLIERCONTACTFACE,O,Строка (70),Контактное лицо грузоотправителя
CONSIGNEE,M,Число (13),GLN грузополучателя
CONSIGNEENAME,O,Строка (70),Имя грузополучателя
CONSIGNEEADRESS,O,Строка (70),Адрес грузополучателя
CONSIGNEECONTACTFACE,O,Строка (70),Контактное лицо грузополучателя
CONSIGNOR,M,Число (13),GLN грузоотправителя
CONSIGNORNAME,O,Строка (70),Имя грузоотправителя
CONSIGNORCOUNTRY,O,Строка (2),Страна грузоотправителя (Код страны по стандарту ISO-3166 (2 буквы))
CONSIGNORCITY,O,Строка (35),Город грузоотправителя
CONSIGNORADRESS,O,Строка (70),Адрес грузоотправителя
CONSIGNORCONTACTFACE,O,Строка (70),Контактное лицо грузоотправителя
DELIVERYPLACE,M,Число (13),GLN места доставки
SENDER,M,Число (13),GLN отправителя
RECIPIENT,M,Число (13),GLN получателя
**GOODSDETAILS**, , ,Данные по грузу (начало блока)
NUMBER,M,Число положительное,Номер позиции
EQUIPMENTQUANTITY,O, ,Количество
EQUIPMENLENGTH,O,Число (2),"Длина контейнера:
20 — 20 футов
40 — 40 футов
45 — 45 футов
48 — 48 футов"
EQUIPMENTID,O,Стока (13),Номер контейнера
PACKAGEQUANTITY,O,Число десятичное,Кол-во упаковок
PACKAGETYPE,M,"Строка (2, 3)","Тип упаковки:
09 — возвратная палета; 201 — европалета;
CT — картонная коробка; PK — упаковка"
**INPACKAGE**, , ,Упаковка (начало блока)
QUANTITY,O,Число положительное,Кол-во в одной упаковке
TYPE,O,"Строка (2, 3)",Тип упаковки
**INPACKAGE**, , ,Упаковка (окончание блока)
HANDLING,O,Строка (3),"Описание груза:
BIG — нестандартный;
CRU — бьющийся;
EAT — пищевые продукты;
HWC — перевозить с осторожностью;
VAL — ценный/дорогой груз"
**TEMPERATURE**, , ,Температура (начало блока)
MIN,O,Число положительное,Минимальная температура
MAX,O,Число положительное,Максимальная температура
**TEMPERATURE**, , ,Температура (окончание блока)
AMOUNT,O,Число десятичное,Цена упаковки
CURRENCY,O,Строка (3),Код валюты
PRODUCT,O,"Число (8, 10, 14)",Штрихкод продукта
DESCRIPTION,O,Строка (70),Название продуктов в упаковке
DELIVERYPLACE,M,Число (13),Место доставки одной позиции
WEIGHT,O,Число десятичное,Вес
WEIGHTUNIT,O,Строка (3),Единицы измерения
PRODUCTIDBUYER,O,Строка (35),Артикул в БД покупателя
**GOODSDETAILS**, , ,Данные по грузу (окончание блока)
**EQUIPMENTDETAILS**, , ,Данные по транспорту (начало блока)
EQUIPMENTTYPE,O,"Строка (2, 3)",тип оборудования; СN — контейнер (согласно справочнику)
EQUIPMENTAMOUNT,O,Число десятичное,количество оборудования
EQUIPMENTCODE,O,Строка (4),Размер и тип оборудования (контейнера)
EQUIPMENTDESCRIPTION,O,Строка (70),описание оборудования/контейнера (требования)
**EQUIPMENTDETAILS**, , ,Данные по транспорту (окончание блока)
PALLETAMOUNT,O,Число положительное,Количество палет
TONNAGE,O,Число положительное,Грузоподъемность
LENGTHROUTE,O,Число положительное,Длина маршрута
ZONE,O,Строка (35),Зона
ZONEDETAILS,O,Строка (70),Подробности
TRANSPORTTYPE,O,"Строка (2, 3)","Тип транспорта: 10 — морской;
20 — железнодорожный;
30 — автомобильный;
40 — воздушный;
50 — смешанный;
80 — речной;
100 — курьерская доставка"
INFO,O,Строка (70),Дополнительная информация
**TRANSPORTLIMIT**, , ,Транспортные ограничения (начало блока)
REGION,O,Строка (70),Регион
UNLOADTYPE,O,Строка (70),Ожидание
LENGTH,O,Число положительное,Длина
HEIGHT,O,Число положительное,Высота
PERMISSIONS,O,Строка (70),Права
TAILLIFT,O, , 
**TRANSPORTLIMIT**, , ,Транспортные ограничения (окончание блока)
**POSITION**, , ,Товарные позиции (начало блока)
