Название поля,Тип,Формат,Описание
**PARTIN**, , ,Начало документа
NUMBER,M,Строка (16),Номер документа
DATE,M,Дата (ГГГГ-ММ-ДД),Дата
CONTRACTNUMBER,M,Строка (70),Номер договора
CONTRACTDATE,M,Дата (ГГГГ-ММ-ДД),Дата договора
**HEAD**, , ,Начало основного блока
BUYER,M,Число (13),GLN покупателя
SUPPLIER,M,Число (13),GLN поставщика
SENDER,M,Число (13),GLN отправителя
RECIPIENT,M,Число (13),GLN получателя
**COMPANIES**, , ,Адрес компании (начало блока)
PARTYQUALIFIER,M,Строка (2),"Адрес компании: СО — юридический, SU — физический"
COMPANY,M,Число (13),GLN магазина
NAME,M,Строка (35),Название магазина
STREET,M,Строка (70),Улица
BUILDING,M,Строка (8),Номер здания
SECONDBUILDING,O,Строка (8),Номер второго здания (если компания занимает несколько зданий)
FLATNUMBER,M,Строка (8),Номер офиса
CITY,M,Строка (35),Город
ZIPCODE,M,Строка (35),Индекс
COUNTRYCODE,M,Строка (2),Код страны
FISCALNUMBER,M,Строка (35),ИНН
REGISTRATIONNUMBER,M,Строка (35),Код ЕДРПОУ
RCEO,M,Строка (35),ОКПО
SIC,M,Строка (35),ОКОНХ
GOVREFN,O,Строка (35),ОГРН
OKVD,M,Строка (35),Код ОКВЭД
EXECUTIVE, , ,ответственный сотрудник
SPECINST, , ,
**CONTACTS**, , ,Контакты (начало блока)
CONTACTCODE,M,Строка (2),"ОС — менеджер, SA — директор"
NAME,O,Строка (35),ФИО
EMAIL,M,Строка (70),Электронная почта
FAX,O,Строка (35),Факс
TELEPHONE,O,Строка (35),Телефон
ADDITIONALNUMBER,O,Строка (35),Дополнительный номер
MOBILENUMBER,O,Строка (35),Мобильный номер
WWW,O,Строка (70),Сайт
**CONTACTS**, , ,Контакты (окончание блока)
**RETAILCONTACTS**, , ,Контакты со стороны розничной сети (начало блока)
NAME,М,Строка (35),ФИО
EMAIL,М,Строка (70),Электронная почта
**RETAILCONTACTS**, , ,Контакты со стороны розничной сети (окончание блока)
CURRACCOUNT,М,Строка (35),Расчетный счет
BENEFICIARY,М,Строка (2),"Сведения о выгодоприобретателе: 1 — юридическое лицо, 2 — физическое лицо, 3 — индивидуальный предприниматель"
BANKNAMECODE,М,Строка (35),Банковский идентификационный код (БИК)
BANKINTID,М,Строка (70),Международный код банка
PERFORMERBANKNAME,М,Строка (70),Наименование банка
IBLN,М,Строка (35),IBAN (см. Глоссарий)
COUNTRYNAME,М,Строка (2),Код страны банка
CORRACCOUNT,М,Строка (70),К/с банка
FINBENEFICIARY,М,Строка (35),Конечный бенефициар (Конечный получатель средств)
REGCAPITAL,М,Строка (35),Зарегистрированный уставной капитал
VALUECAPITAL,М,Строка (35),Величина уставного фонда
PAIDCAPITAL,М,Строка (35),Оплаченный уставной капитал
REGDATE,М,Дата (ГГГГ-ММ-ДД),Дата государственной регистрации
REGNUMBER,М,Строка (35),Номер государственной регистрации
NOTIFNAME,М,Строка (35),Наименование регистрирующего органа
REGPLACE,М,Строка (35),Место регистрации
**LICENSE**, , ,Лицензия (начало блока)
LISTYPE,М,Строка (2),"Тип лицензии:
IP — лицензия на импорт,
TL — освобождение от налогов, EX — лицензия на экспорт,
AV — другая"
LICNUM,М,Строка (35),Номер лицензии
LICTYPE,М,Строка (35),Вид лицензии
LICDATE,М,Дата (ГГГГ-ММ-ДД),Дата выдачи лицензии
LICREGNUM,М,Строка (35),Регистрационный номер
LICSTART,М,Дата (ГГГГ-ММ-ДД),Дата начала действия лицензии
LICEND,М,Дата (ГГГГ-ММ-ДД),Дата окончания действия лицензии
LICGIVEN,М,Строка (70),Кем выдана лицензия
**LICENSE**, , ,Лицензия (окончание блока)
**COMPANIES**, , ,Адрес компании (окончание блока)
**COMPANIES**, , ,Адрес компании (начало блока)
PARTYQUALIFIER,М,Строка (2),"Адрес компании:
СО — юридический, SU — физический"
STREET,М,Строка (35),Улица
BUILDING,М,Строка (8),Номер дом
SECONDBUILDING,О,Строка (8),Номер второго здания (если компания занимает несколько зданий)
FLATNUMBER,М,Строка (8),Номер квартиры или офиса
CITY,М,Строка (35),Город
ZIPCODE,М,Строка (16),Индекс
**COMPANIES**, , ,Адрес компании (окончание блока)
**HEAD**, , ,Окончание основного блока
**PARTIN**, , ,Окончание документа
