Название поля,Тип,Формат,Описание
**PRICAT**, , , Начало документа
ACTION,M,"«9», «13», «51», «21», «99»","Тип документа: 9 — прайс-лист (полный), 13 — запрос прайс-листа, 51 — ответ на прайс-лист, 21 — дополнение существующего прайс-листа, 99 — отказ на прайс-лист"
NUMBER,M,Строка(16),Номер документа
DATE,M,Дата (ГГГГ-ММ-ДД),Дата документа
DATEFROM,O,Дата (ГГГГ-ММ-ДД),Вступает в силу с даты
TIMEFROM,O,Время (чч:мм),Вступает в силу со времени
CAMPAIGNNUMBER,O,Строка (35),Номер договора на поставку
PRICATINFO,O,Строка (75),Свободный текст
ORDERCONTACT, , ,Контактная информация
VAT,O,Число положительное,"Ставка НДС, %"
CURRENCY,O,Строка (3),"Трехзначный код валюты (например, UAH, RUB, USD, EUR, MDL, BYR)"
**STOREACTION**, , ,"Действие для магазина (для ТС ""Караван"") - начало блока"
STOREGLN, , ,GLN магазина действия прайс-листа
**STOREACTION**, , ,"Действие для магазина (для ТС ""Караван"") - окончание блока"
SUPPLIER,M,Число (13),GLN поставщика
BUYER,M,Число (13),GLN покупателя
SENDER,M,Число (13),GLN отправителя
RECIPIENT,M,Число (13),GLN получателя
EDIINTERCHANGEID,O,Строка (70),"Номер транзакции (Уникальный номер, генерируемый отправителем)"
**CATALOGUE**, , , Каталог (начало блока)
**POSITION**, , , Товарные позиции (начало блока)
POSITIONNUMBER,M,Число положительное,"Номер товарной позиции (Порядковый номер товарной позиции в документе (1, 2, 3, 4... n))"
ACTION,M,"«2», «3», «4», «27», «29»","Требуемое действие:
2 - добавление новых позиций,
3 - удаление,
4 - изменение,
27 — принято,
29 — не принято"
ITEMAVAILABLE,O (M-для Розетка),«Да» / «Нет»,"Доступность товара к заказу: 0 - нет, 1 - да"
PRODUCT,M,"Число (8, 10, 14)",Штрихкод продукта
PRODUCTGROUPCODE,O,Число (4),Код группы товара
IDSUPPLIER,O (M-для Розетка),Строка (16),Артикул в БД поставщика
IDBUYER,О,Строка (16),Артикул в БД покупателя
MINORDERQUANTITY,O(M-для Розетка),Число положительное,Минимальное кол-во в заказе
MINORDERQUANTITYUNIT,O,Строка (3),Единицы измерения
MAXORDERQUANTITY,O,Число положительное,Максимальное кол-во в заказе
MAXORDERQUANTITYUNIT,O,Строка (3),Единицы измерения
QUANTITYOFCUINTU,O,Число положительное,Кол-во в упаковке
QUANTITYOFCUINTUUNIT,O,Строка (3),Единицы измерения
IDNATIONAL,O,Строка (35),Код товара по национальному классификатору
IDINTERNATIONAL,O,Строка (35),Код товара по международному классификатору
IDGPC,O,Строка (35),Код продукта соответствует Global Product Classification
REPLACEPRODUCT,O,"Число (8, 10, 14)",Продукт для замены
PRODUCTGROUP,O,Строка (6),Товарная група
ANALOGPRODUCT,O,"Число (8, 10, 14)",Описанный продукт имеет аналог
BRAND,O,Строка (75),Бренд (торговая марка)
SUBBRAND,O,Строка (75),Субаренд (торговая марка более низкого уровня)
VARIATY,O,Строка (75),Вариант (разновидность) названия продукта
FUNCTIONNAME,O,Строка (75),Функциональное название
PRODUCTNAME,M,Строка (75),Полное название продукта
NEWPOSITION,O,"Число (1, 0)",Новинка
PROMO,О,"Число (1, 0)",Акция
DEPTH,O,Число положительное,Глубина
DEPTHUNIT,O,Строка (3),Единицы измерения
WIDTH,O,Число положительное,Ширина
WIDTHUNIT,O,Строка (3),Единицы измерения
HEIGHT,O,Число положительное,Высота
HEIGHTUNIT,O,Строка (3),Единицы измерения
VOLUME,O,Число положительное,Объем
VOLUMEUNIT,O,Строка (3),Единицы измерения
WEIGHT,O,Число положительное,Вес
WEIGHTUNIT,O,Строка (3),Единицы измерения
**TEMPERATUREOFSTORAGE**, , ,Температура хранения (начало блока)
FROM,O,Число [–100; 100],От (Температура хранения продукта указывается в градусах по Цельсию)
TO,O,Число [–100; 100],До (Температура хранения продукта указывается в градусах по Цельсию)
**TEMPERATUREOFSTORAGE**, , ,Температура хранения (окончание блока)
COUNTRYORIGIN,O,Строка (2),Страна производитель (код страны по стандарту ISO-3166 (2 буквы))
BESTBEFORDATE,O,Дата (ГГГГ-ММ-ДД),Годен до
CERTIFICATEOFCONFORMITY,O,Строка (35),Номер сертификата соответствия
HYGIENICCERTIFICATE,O,Строка (35),Номер гигиенического сертификата
TAXRATE,M,Число положительное,"Ставка НДС, %"
POSITIONCURRENCY,O(M-для Розетка),Строка,"код валюты (UAH, RUB, USD ...) по позиции"
ACTUALQUANTITY,O,Число положительное,остатки
UNITPRICE,M,Число десятичное,Цена продукта без НДС
PRICEWITHVAT,M,Число десятичное,Цена продукта c НДС
UNIT,М,Строка (3),Единицы измерения
RETAILPRICE,O,Число десятичное,Рекомендованная розничная цена
ADVICEPRICE,O,Число десятичное,Рекомендованная цена (государством)
MAXORDERPRICE,O,Число десятичное,Максимальная розничная цена
MINORDERPRICE,O,Число десятичное,Минимальная розничная цена
**DISCONT**, , ,Скидка (начало блока)
PERUNIT,O,Число положительное,За единицу
PERCENT,O,Число десятичное,Скидка в процентах
**DISCONT**, , ,Скидка (окончание блока)
PACKAGE,O,"Строка (2, 3)",Тип упаковки
QUANTITYOFBOX,О,Число положительное,Количество коробок
QUANTITYOFPALLET,О,Число положительное,Количество палет
INFO,O,Строка (70),Свободный текст
PARTYAVAILABILITY,O,"«0», «1»","Наличие партии у товара: 0 — нет, 1 — да"
SSCCAVAILABILITY,O,"«0», «1»","Признак серийного номера: 0 — нет, 1 — да"
PRODUCTFACTOR,O,Строка (12),Объединяющий признак товара
CONDITIONSTATUS,О,Строка (3),Статус кондиции
BONUSRATE,O,Число десятичное,Бонусная ставка
FOREIGNTRADECODE,О,Строка,"Код УКТ ВЭД (для ТС ""Дигма"")"
ENTERPRICE,О,Число,"Ввод позиции, грн (для ТС ""Дигма"")"
RETROBONUS,О,Число,"Ретро-бонус, % (для ТС ""Дигма"")"
DELAYPAYMENT,О,Число,"Отсрочка платежа (для ТС ""Дигма"")"
POSITIONCURRENCY,О, ,"Код валюты, допустимые значения: ""UAH"", ""EUR"", ""USD"""
ACTUALQUANTITY,О,Число положительное,Остаток по позиции
**POSITION**, , ,Товарные позиции (окончание блока)
**CATALOGUE**, , , Каталог (окончание блока)
**PRICAT**, , , Окончание документа
