Название полей,Тип,Формат,Описание
**RETANN**, , ,Начало документа
NUMBER,M,Строка (16),Номер документа
ACTION,О,Число положительное,"9 — оригинал документа, 5 — замена документа"
DATE,M,Дата (ГГГГ-ММ-ДД),Дата документа
ORDERNUMBER,O,Строка (16),Номер заказа
ORDERDATE,O,Дата (ГГГГ-ММ-ДД),Дата заказа
DESADVNUMBER,O,Строка (16),Номер ув. об отгрузке
DESADVDATE,O,Дата (ГГГГ-ММ-ДД),Дата ув. об отгрузке
RECADVNUMBER,O,Строка (16),Номер ув. о приеме
RECADVDATE,O,Дата (ГГГГ-ММ-ДД),Дата ув. о приеме
REQUESTNUMBER, , ,Номер запроса
REQUESTDATE,O,Дата (ГГГГ-ММ-ДД),Дата запроса
RETURNDATE,O,Дата (ГГГГ-ММ-ДД),Дата возврата (отгрузки поставщику)
RETURNNOTENUMBER,O,Строка (16),Номер  накладной на возврат
RETURNNOTEDATE,O,Дата (ГГГГ-ММ-ДД),Дата накладной на возврат
RETURNTYPE,O,Строка (70),Причина возврата
CAMPAIGNNUMBER,O,Строка (16),Номер договора на поставку
INFO,O,Строка (70),Дополнительная информация
**HEAD**, , ,Начало основного блока
SUPPLIER,M,Число (13),GLN поставщика
BUYER,M,Число (13),GLN покупателя
DELIVERYPLACE,M,Число (13),GLN места доставки
SENDER,M,Число (13),GLN отправителя
RECIPIENT,M,Число (13),GLN получателя
EDIINTERCHANGEID,O,Строка (70),Номер транзакции
**POSITION**, , ,Товарные позиции (начало блока)
POSITIONNUMBER,M,Число положительное,Номер позиции
PRODUCT,M,Число (13),Штрихкод продукта
PRODUCTIDSUPPLIER,O,Строка (16),Артикул в БД постовщика
PRODUCTIDBUYER,O,Строка (16),Артикул в БД покупателя
RETURNQUANTITY,M,Число десятичное,Возвращенное кол-во
RETURNQUANTITYUNIT,O,Строка (3),Единица измерения
DELIVEREDQUANTITY,O,Число десятичное,Доставленное кол-во
DELIVEREDQUANTITYUNIT,O,Строка (3),Единица измерения
PRICE,O,Число десятичное,Цена
PRICEWITHVAT,О,Число десятичное ,Цена с НДС
TAXRATE,О,Число (3),"Ставка налога (НДС, %)"
AMOUNT,O,Число десятичное,Сумма
CURRENCY,O,Строка (3),Код валюты
DESCRIPTION,O,Строка (70),Описание продукта
AMOUNTWITHVAT,О,Строка (16),Стоимость позиции с НДС
**ACTION**, , ,Действия (начало блока)
CODE,O,Число (3),"Код действия:
4 - повреждение,
15 — товар устарел,
12E — товар будет возвращен,
14E — товар будет уничтожен, 15E — товар должен быть восстановлен/отремонтирован"
DESCRIPTION,O,Строка (70),Описание причины
**ACTION**, , ,Действия (окончание блока)
VAT,O,Число положительное,"Ставка НДС, %"
QUANTITYOFCUINTU,O,Число положительное,Кол-во в упаковке
WEIGHT,O,Число десятичное,Вес
WEIGHTUNIT,O,Строка (3),Единицы измерения
**POSITION**, , ,Товарные позиции (окончание блока)
**HEAD**, , ,Окончание основного блока
**RETANN**, , ,Окончание документа
