,ТОВ ОЛІМП-ТРЕЙД,Абсолют,ТОВ Параллель-М ЛТД,ФЛП Везунчик,Фокстрот,Фуршет,ОККО-НАФТОПРОДУКТ,Ашан,Варус (ОМЕГА),Салют
ORDERS,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
ORDRSP,✔,✔,,,✔,✔,✔,,,✔
DESADV,✔,,✔,✔,✔,,✔,,,
RECADV,,,,,,,,,,
INVOIC,,,,,,✔,✔,,✔,
RETANN,,,,,,,✔,,,
COACSU,,,,,,,,,,
IFTMIN,,,,,,,,,,
PRICAT,,,,,✔,,,,,
retinn,,,,,,,,,,
INSDES,,,,,,,,,,
Comdoc,,,,,,✔,✔,,,
Тип комдока,,,,,,"Прибуткова накладна Претензия ",
"Прибуткова накладна
Накладна на повернення",,,
Declar,,,,,,✔,,,,
Declarj12,,,,,,,,,,
Тов. согласование/ Pricat,,,,,,,,,-,-
Сертификаты,,,,,,,,,,
