Сеть,Заказ (ORDERS),Подтверждение заказа (ORDRSP),Ув. об  Отгрузке (DESADV),Ув. о приеме (RECADV),Счет (INVOICE),Ув. о возврате (RETANN),Инструкция о возврате (RETINS),Инструкция о доставке (INSDES),Акт Сверки (COACSU),Инструкция о транспортировке (IFTMIN),Прайс-лист (PRICAT),Коммерческий документ (COMDOC),Тип Ком. документа,Товарная накладная (DOCUMENTINVOICE),Корректировка к товарной накладной (DOCCORINVOICE),Налоговая накладная (Declar),Расчет корректировок к НН (DECLARJ12),EDIN-PRICE,EDIN–CERTIFICATE
Абрикос,✔,✔,✔,,,,,,,,,,,,,,,,
Абсолют,✔,✔,,,,,,,,,,,,,,,,,
Аванта,✔,✔,✔,,,,,,,,,,,,,,,,
Акорд-2017,✔,✔,✔,,,,,,,,,,,,,,,,✔
Альфа-Забава (Будинок Іграшок),✔,✔,✔,,,,,,,,,,,,,,,,
Альянс маркет (Евротек),✔,✔, ,,✔,,,,,,,,,,,,,,
Амик,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,
Аптеки 911,✔,✔,✔,,,,,,,,,,,,,,,,
Аргон (Грош),✔,✔,✔,,,,,,,,,✔,,,,,,✔,
Аритейл          ,✔,✔,✔,,✔,,,,,,,,,,,,,,
АТБ (РЦ),✔,✔,✔,✔,,✔,✔,✔,,,,,,,,,,,
АТБ Магазины,✔,,✔,,,,,,,,,,,,,,,,
Аттика,✔,✔,✔,,,,,,,,,,,,,,,,
Ашан,✔,,,,,,,,,,,,,,,,,,
Билла,✔,,✔,✔,,,,,,,,,,,,,,,
БМХ (Fresh Food Market),✔,,✔,,,,,,,,,,,,,,,,
Бюро Вин (Good Wine),✔,✔,✔, ,,,,,,,,,,,,,,,
Варус (ОМЕГА),✔,,,,✔,,,,,,,,,,,,,,
Ватсонс (Watsons),✔,,,✔,✔,,,,,,,,,,,,,,
Везунчик,✔,,✔,,,,,,,,,,,,,,,,
Велика Кишеня,✔,✔,✔,,,,,,,,,✔,"Прибуткова накладна, Акт про виявлені недоліки, Товарна специфікація.
нет отказа от подписания",,,✔,✔,,
Вересень плюс,✔,✔,✔,,✔,,,,,,,✔,"Приходная накладная
Возвратная Накладная ",,,,,✔,✔
ВОГ (WOG),✔,✔,✔,,,,,,,,,,,,,,,,
Восторг,✔,,✔,,,,,,,,,,,,,,,,
Гведеон,✔,✔,,,,,,,,,,,,,,,,,
Глуско,✔,✔,✔,,,,,,,,,,,,,,,,✔
Горпресса,✔,,,,✔,,,,,,,,,,,,,,
Два шага,✔,✔,✔,,,,,,,,,,,,,,,,
Дивиал 2000,✔,✔,✔,,,,,,,,,,,,,,,,
Дигма,✔,,✔,,✔,,,,,,,✔,"
COMDOC – Прибуткова накладна;
COMDOC – Акт невідповідності; 

012 => Накладна на повернення
016 => Рахунок-фактура

018 => Акт наданих послуг
",,,,,,
ЕКО-маркет,✔,✔,✔,,,✔,,,,,,✔,"Прибуткова накладна
есть отказ от подписания",,,,,,
Етана південь,✔,,✔,,,,,,,,,,,,,,,,
Идеал,✔,,✔,,,,,,,,,,,,,,,,
Интеграл Групп (Плюс маркет),✔,✔,✔,,,,,,,,,,,,,,,,
Кисет,✔,✔,✔,,,,,,,,,✔,"COMDOC(приходная 007), 
Comdoc(возвратная 012),
отказ от подписания""(Comdoc 021)",,,,,,
Класс,✔,,✔,,,,,,,,,✔,Прибуткова накладна ,,,,,✔,✔
Клевер сторс,✔,✔,✔,✔,,,,,,,,✔,"приходная накладная, Акт расхождений",,,✔,,,
Колос,✔,,✔,,,,,,,,,✔,COMDOC(приходная 007),,,,,✔,
Континент Торг,✔,✔,,,,✔,,,,,,,,,,,,,
Копійка,✔,,✔,,,,,,,,,,,,,,,,
Крамниця Добра,✔,,✔,,,,,,,,,,,,,,,,
Ла Фарина,✔,✔,✔,✔,,,,,,,,,,,,,,,✔
Лоток,✔,✔,✔,,,✔,,,,,,,,,,,,,
Лотос Трейд,✔,✔,✔,,,,,,,,,,,,,,,,
Львівхолод,✔,✔,✔,✔,,,,,,,,✔,"Прибуткова накладна
",,,,,,
Манго-Групп,✔,✔,✔,,,,,,,,,✔,Прибуткова накладна,,,,,✔,
Маркет Плюс,✔,,✔,,,,,,,,,,,,,,,,
Массмарт,✔,,,,,,,,,,,,,,,,,,
Мережа Сервіс Львів (Близенько),✔,✔,✔,,✔,✔,,,,,,,,,,,,,
МЕТРО,✔,,✔,✔,,,,,,,,,"уникальные документы
Товарная накладная(documentinvoice)
и Корректировка к товарной накладной (doccorinvoice)",,,✔,,✔,
Наш Край,✔,,,,,,,,,,,,,,,,,,
Новая Линия,✔,✔,✔,,,,,,,,,,,,,,,,
Новус,✔,✔,✔,✔,,,,,,,,✔,"Прибуткова накладна, Анулювання, Товарна специфікація.
есть отказ от подписания, Возвратная накладная",,,✔,,✔,
ОККО,✔,✔,✔,,✔,✔,,,,,,✔,"Прибуткова накладна
Накладна на повернення",,,,,,
Олимп-Трейд,✔,✔,✔,,,,,,,,,,,,,,,,
ПАККО Холдинг,✔,✔,✔,✔,,,,,,,,✔,Прибуткова накладна,,,✔,,,
Пампик,✔,✔,✔,,,,,,,,,,,,,,,,
Параллель-М ЛТД,✔,,✔,,,,,,,,,,,,,,,,
Питлайн,✔,,,,,,,,,,,,,,,,,,
Пчелка маркет,✔,✔,✔,,,✔,,,,,,,,,,,,,
Рітейл Україна (Свій Маркет),✔,✔,✔,,,,,,,,,,,,,,,,
Розетка,✔,✔,✔,✔,,,,,,,✔,✔,Расходная накладная,,,,,,
Руш (Ева) ,✔,,,,✔,,,,,,,,,,,,,,
Салатейра,✔,,✔,,,,,,,,,✔,Прибуткова накладна,,,,,,
Салют,✔,✔,,,,,,,,,,,,,,,,,
Сан Ойл (SUNOIL),✔,✔,✔,,,,,,,,,,,,,,,,
Сигмастелс (РОСТ),✔,✔,✔,,,,,,,,,,,,,,,,
Сильпо,✔,✔,,,,,,,,,,,,,,,,,
Сильпо РЦ,✔,✔,,,,✔,✔,,,✔,,,,,,,,,
Сити Фуд Трейд,✔,,✔,,,,,,,,,✔,"COMDOC(приходная 007), 
Comdoc(возвратная 012)",,,,,,
Смак-Плюс,✔,✔,,,,,,,,,,,,,,,,,
Сокар (Sokar),✔,✔,✔,,,,,,,,,,,,,,,✔,✔
Стейт Оил,✔,✔,✔,,,,,,,,,,,,,,,,
Стиль Д (Простор),✔,✔,✔,,,✔,✔,,,,,✔,"Рахунок-фактура, Акт виконаних робіт, Акт взаємозаліку, Видаткова накладна, Прибуткова накладна, Товарна специфікація, Накладна на повернення",,,,,✔,
"Строй Опт, 33м2",✔,✔,,,,,,,,,,,,,,,,,
Суматра,✔,,✔,,,,,,,,,,,,,,,,
Сушия,✔,✔,✔,✔,,,,,,,,✔,"Приходная накладная, Возвратная накладная, есть возможность отказа",,,,,,
Таврія  В,✔,✔,✔,,,,,,,,"✔
",✔,Прибуткова накладна,,,✔,,,
