Сеть,Заказ (ORDERS),Подтверждение заказа (ORDRSP),Ув. об  Отгрузке (DESADV),Ув. о приеме (RECADV),Счет (INVOICE),Ув. о возврате (RETANN),Инструкция о возврате (RETINS),Инструкция о доставке (INSDES),Акт Сверки (COACSU),Инструкция о транспортировке (IFTMIN),Прайс-лист (PRICAT),Коммерческий документ (COMDOC),Тип Ком. документа,Товарная накладная (DOCUMENTINVOICE),Корректировка к товарной накладной (DOCCORINVOICE),Налоговая накладная (Declar),Расчет корректировок к НН (DECLARJ12),EDIN-PRICE,EDIN–CERTIFICATE
Абрикос,✔,✔,✔,,,,,,,,,,,,,,,,
Абсолют,✔,✔,,,,,,,,,,,,,,,,,
Аванта,✔,✔,✔,,,,,,,,,,,,,,,,
Акорд-2017,✔,✔,✔,,,,,,,,,,,,,,,,✔
Альфа-Забава (Будинок Іграшок),✔,✔,✔,,,,,,,,,,,,,,,,
Альянс маркет (Евротек),✔,✔, ,,✔,,,,,,,,,,,,,,
Амик,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,
Аптеки 911,✔,✔,✔,,,,,,,,,,,,,,,,
Аргон (Грош),✔,✔,✔,,,,,,,,,✔,,,,,,✔,
Аритейл          ,✔,✔,✔,,✔,,,,,,,,,,,,,,
АТБ (РЦ),✔,✔,✔,✔,,✔,✔,✔,,,,,,,,,,,
АТБ Магазины,✔,,✔,,,,,,,,,,,,,,,,
Аттика,✔,✔,✔,,,,,,,,,,,,,,,,
Ашан,✔,,,,,,,,,,,,,,,,,,
Билла,✔,,✔,✔,,,,,,,,,,,,,,,
БМХ (Fresh Food Market),✔,,✔,,,,,,,,,,,,,,,,
Бюро Вин (Good Wine),✔,✔,✔, ,,,,,,,,,,,,,,,
Варус (ОМЕГА),✔,,,,✔,,,,,,,,,,,,,,
Ватсонс (Watsons),✔,,,✔,✔,,,,,,,,,,,,,,
Везунчик,✔,,✔,,,,,,,,,,,,,,,,
Велика Кишеня,✔,✔,✔,,,,,,,,,✔,"Приходная накладная.
Акт о выявленных недостатках. 
Нет отказа от подписания.",,,✔,✔,,
Вересень плюс,✔,✔,✔,,✔,,,,,,,✔,"Приходная накладная.
Возвратная накладная.",,,,,✔,✔
ВОГ (WOG),✔,✔,✔,,,,,,,,,,,,,,,,
Восторг,✔,,✔,,,,,,,,,,,,,,,,
Гведеон,✔,✔,,,,,,,,,,,,,,,,,
Глуско,✔,✔,✔,,,,,,,,,,,,,,,,✔
Горпресса,✔,,,,✔,,,,,,,,,,,,,,
Два шага,✔,✔,✔,,,,,,,,,,,,,,,,
Дивиал 2000,✔,✔,✔,,,,,,,,,,,,,,,,
Дигма,✔,,✔,,✔,,,,,,,✔,"
Приходная накладная.
Акт разногласий.
Накладная на возврат.
Счет-фактура.
Акт предоставленных услуг.
",,,,,,
ЕКО-маркет,✔,✔,✔,,,✔,,,,,,✔,"Приходная накладная.
Есть отказ от подписания",,,,,,
Етана південь,✔,,✔,,,,,,,,,,,,,,,,
Идеал,✔,,✔,,,,,,,,,,,,,,,,
Интеграл Групп (Плюс маркет),✔,✔,✔,,,,,,,,,,,,,,,,
Кисет,✔,✔,✔,,,,,,,,,✔,"Приходная накладная.
Накладная на возврат.
Есть отказ от подписания.",,,,,,
Класс,✔,,✔,,,,,,,,,✔,Приходная накладная.,,,,,✔,✔
Клевер сторс,✔,✔,✔,✔,,,,,,,,✔,"Приходная накладная.
Акт разногласий.",,,✔,,,
Колос,✔,,✔,,,,,,,,,✔,Приходная накладная.,,,,,✔,
Континент Торг,✔,✔,,,,✔,,,,,,,,,,,,,
Копійка,✔,,✔,,,,,,,,,,,,,,,,
Крамниця Добра,✔,,✔,,,,,,,,,,,,,,,,
Ла Фарина,✔,✔,✔,✔,,,,,,,,,,,,,,,✔
Лоток,✔,✔,✔,,,✔,,,,,,,,,,,,,
Лотос Трейд,✔,✔,✔,,,,,,,,,,,,,,,,
Львівхолод,✔,✔,✔,✔,,,,,,,,✔,Приходная накладная.,,,,,,
Манго-Групп,✔,✔,✔,,,,,,,,,✔,Приходная накладная.,,,,,✔,
Маркет Плюс,✔,,✔,,,,,,,,,,,,,,,,
Массмарт,✔,,,,,,,,,,,,,,,,,,
Мережа Сервіс Львів (Близенько),✔,✔,✔,,✔,✔,,,,,,,,,,,,,
МЕТРО,✔,,✔,✔,,,,,,,,,,✔,✔,✔,✔,✔,
Наш Край,✔,,,,,,,,,,,,,,,,,,
Новая Линия,✔,✔,✔,,,,,,,,,,,,,,,,
Новус,✔,✔,✔,✔,,,,,,,,✔,"Приходная накладная. 
Анулирование.  
Возвратная накладная.
Есть отказ от подписания.",,,✔,,✔,
ОККО,✔,✔,✔,,✔,✔,,,,,,✔,"Приходная накладная. 
Возвратная накладная.",,,,,,
Олимп-Трейд,✔,✔,✔,,,,,,,,,,,,,,,,
ПАККО Холдинг,✔,✔,✔,✔,,,,,,,,✔,Приходная накладная.,,,✔,,,
Пампик,✔,✔,✔,,,,,,,,,,,,,,,,
Параллель-М ЛТД,✔,,✔,,,,,,,,,,,,,,,,
Питлайн,✔,,,,,,,,,,,,,,,,,,
Пчелка маркет,✔,✔,✔,,,✔,,,,,,,,,,,,,
Рітейл Україна (Свій Маркет),✔,✔,✔,,,,,,,,,,,,,,,,
Розетка,✔,✔,✔,✔,,,,,,,✔,✔,Расходная накладная.,,,,,,
Руш (Ева) ,✔,,,,✔,,,,,,,,,,,,,,
Салатейра,✔,,✔,,,,,,,,,✔,Приходная накладная.,,,,,,
Салют,✔,✔,,,,,,,,,,,,,,,,,
Сан Ойл (SUNOIL),✔,✔,✔,,,,,,,,,,,,,,,,
Сигмастелс (РОСТ),✔,✔,✔,,,,,,,,,,,,,,,,
Сильпо,✔,✔,,,,,,,,,,,,,,,,,
Сильпо РЦ,✔,✔,,,,✔,✔,,,✔,,,,,,,,,
Сити Фуд Трейд,✔,,✔,,,,,,,,,✔,"Приходная накладная. 
Возвратная накладная.",,,,,,
Смак-Плюс,✔,✔,,,,,,,,,,,,,,,,,
Сокар (Sokar),✔,✔,✔,,,,,,,,,,,,,,,✔,✔
Стейт Оил,✔,✔,✔,,,,,,,,,,,,,,,,
Стиль Д (Простор),✔,✔,✔,,,✔,✔,,,,,✔,"Счет-фактура.
Акт выполненных работ.
Акт взаиморасчетов.
Расходная накладная
Приходная накладная. 
Возвратная накладная.",,,,,✔,
"Строй Опт, 33м2",✔,✔,,,,,,,,,,,,,,,,,
Суматра,✔,,✔,,,,,,,,,,,,,,,,
Сушия,✔,✔,✔,✔,,,,,,,,✔,"Приходная накладная.
Возвратная накладная.
Есть возможность отказа.",,,,,,
Таврія  В,✔,✔,✔,,,,,,,,"✔
",✔,Приходная накладная.,,,✔,,,
ТАМ-ТАМ,✔,✔,✔,,,,,,,,,,,,,,,,
Тексуран,✔,✔,✔,,,,,,,,,,,,,,,,
Траш,✔,✔,,,,,,,,,,,,,,,,,
