Параметр,Формат,Описание
.. _Account: , Объект **Account**,
platform,enum,признак принадлежности к платформе EVO / FELEX
id,int,id аккаунта; число 11 символов
name,String,полное наименование организации или ФИО индивидуального предпринимателя
ownership,String,"форма собственности; строка 5 символов; jur - Юридическое лицо, fiz - Физическое лицо"
inn,String,код ИНН; строка 50 символов
kpp,String,код ЕГРПОУ/КПП; строка 50 символов
mail,String,почта
phone,String,№ телефона; строка 50 символов
ndsNumber,String,№ свидетельства НДС; строка 50 символов
bankAccount,String,расчетный счет банка; строка 50 символов
bankName,String,название банка; строка 100 символов
bankMfo,String,"МФО банка, код-реквизит банка"
bankAddress,String,адрес банка; строка 150 символов
**identificators**,List<Identificator_>,массив объектов;
**companies**,List<Company_>,массив объектов;
**users**,List<User_>,массив объектов;
