Тип, Название, Описание (наименование кириллицей)
0, "all", "all"
1, "invoice", "Счет"
2, "orders", "Заказ"
3, "recadv", "Уведомление о приеме"
4, "desadv", "Уведомление об отгрузке"
5, "ordrsp", "Подтверждение заказа"
6, "pricat", "Прайс-лист"
10, "declar", "Налоговая накладная"
11, "insdes", "Инструкция по доставке"
13, "slsrpt", "Отчет о продажах"
14, "invrpt", "Отчет об инвентаризации"
15, "coacsu", "Акт сверки взаиморасчетов"
16, "actset", "Акт взаимозачета"
17, "iftmin", "Инструкция о транспортировке"
18, "retann", "Уведомление о возврате"
19, "iftmbf", "Заказ транспортировки"
21, "mscons", "Отчет о предоставленых услугах"
25, "retins", "Инструкция о возврате"
28, "comdoc", "Коммерческий документ"
29, "declarj12", "Корректировка к налоговой накладной"
30, "condra", "Не структурированный документ "
42, "iftmbc", "Подтверждение заказа транспортировки"
59, "documentinvoice", "Товарная накладная"
67, "doccorinvoice", "doccorinvoice"
75, "waybill", "ТТН"
79, "addbill", "addbill"
98, "quotes", "Приложение к ув.об отгрузке"
